,SubjectID1,SubjectID2,Group1,Group2,Distance,Group3,Type
2402,CO1-P1-S1-16s_S42,MS1-P4-S1-16s_S33,Dry,Wet,0.9882,DryWet,Soil
2403,CO1-P1-S1-16s_S42,MS1-P5-S1-16s_S34,Dry,Wet,0.9762,DryWet,Soil
2404,CO1-P1-S1-16s_S42,MS1-P6-S1-16s_S35,Dry,Wet,0.985133333,DryWet,Soil
2468,CO1-P2-S1-16s_S43,MS1-P4-S1-16s_S33,Dry,Wet,0.990733333,DryWet,Soil
2469,CO1-P2-S1-16s_S43,MS1-P5-S1-16s_S34,Dry,Wet,0.981933333,DryWet,Soil
2470,CO1-P2-S1-16s_S43,MS1-P6-S1-16s_S35,Dry,Wet,0.9854,DryWet,Soil
2534,CO1-P3-S1-16s_S44,MS1-P4-S1-16s_S33,Dry,Wet,0.993133333,DryWet,Soil
2535,CO1-P3-S1-16s_S44,MS1-P5-S1-16s_S34,Dry,Wet,0.988533333,DryWet,Soil
2536,CO1-P3-S1-16s_S44,MS1-P6-S1-16s_S35,Dry,Wet,0.991133333,DryWet,Soil
2600,CO1-P4-S1-16s_S45,MS1-P4-S1-16s_S33,Dry,Wet,0.983466667,DryWet,Soil
2601,CO1-P4-S1-16s_S45,MS1-P5-S1-16s_S34,Dry,Wet,0.9636,DryWet,Soil
2602,CO1-P4-S1-16s_S45,MS1-P6-S1-16s_S35,Dry,Wet,0.978666667,DryWet,Soil
2666,CO1-P5-S1-16s_S46,MS1-P4-S1-16s_S33,Dry,Wet,0.989866667,DryWet,Soil
2667,CO1-P5-S1-16s_S46,MS1-P5-S1-16s_S34,Dry,Wet,0.969533333,DryWet,Soil
2668,CO1-P5-S1-16s_S46,MS1-P6-S1-16s_S35,Dry,Wet,0.990933333,DryWet,Soil
2732,CO1-P6-S1-16s_S47,MS1-P4-S1-16s_S33,Dry,Wet,0.989933333,DryWet,Soil
2733,CO1-P6-S1-16s_S47,MS1-P5-S1-16s_S34,Dry,Wet,0.976266667,DryWet,Soil
2734,CO1-P6-S1-16s_S47,MS1-P6-S1-16s_S35,Dry,Wet,0.982333333,DryWet,Soil
2419,CO1-P1-S1-16s_S42,TX2-P1-S1-16s_S72,Dry,Wet,0.978733333,DryWet,Soil
2420,CO1-P1-S1-16s_S42,TX2-P2-S1-16s_S73,Dry,Wet,0.965266667,DryWet,Soil
2421,CO1-P1-S1-16s_S42,TX2-P3-S1-16s_S74,Dry,Wet,0.982,DryWet,Soil
2422,CO1-P1-S1-16s_S42,TX2-P4-S1-16s_S75,Dry,Wet,0.9688,DryWet,Soil
2423,CO1-P1-S1-16s_S42,TX2-P5-S1-16s_S76,Dry,Wet,0.9792,DryWet,Soil
2424,CO1-P1-S1-16s_S42,TX2-P6-S2-16s_S77,Dry,Wet,0.971466667,DryWet,Soil
2485,CO1-P2-S1-16s_S43,TX2-P1-S1-16s_S72,Dry,Wet,0.984733333,DryWet,Soil
2486,CO1-P2-S1-16s_S43,TX2-P2-S1-16s_S73,Dry,Wet,0.967666667,DryWet,Soil
2487,CO1-P2-S1-16s_S43,TX2-P3-S1-16s_S74,Dry,Wet,0.986,DryWet,Soil
2488,CO1-P2-S1-16s_S43,TX2-P4-S1-16s_S75,Dry,Wet,0.976733333,DryWet,Soil
2489,CO1-P2-S1-16s_S43,TX2-P5-S1-16s_S76,Dry,Wet,0.9826,DryWet,Soil
2490,CO1-P2-S1-16s_S43,TX2-P6-S2-16s_S77,Dry,Wet,0.9746,DryWet,Soil
2551,CO1-P3-S1-16s_S44,TX2-P1-S1-16s_S72,Dry,Wet,0.992466667,DryWet,Soil
2552,CO1-P3-S1-16s_S44,TX2-P2-S1-16s_S73,Dry,Wet,0.983133333,DryWet,Soil
2553,CO1-P3-S1-16s_S44,TX2-P3-S1-16s_S74,Dry,Wet,0.995733333,DryWet,Soil
2554,CO1-P3-S1-16s_S44,TX2-P4-S1-16s_S75,Dry,Wet,0.961866667,DryWet,Soil
2555,CO1-P3-S1-16s_S44,TX2-P5-S1-16s_S76,Dry,Wet,0.993333333,DryWet,Soil
2556,CO1-P3-S1-16s_S44,TX2-P6-S2-16s_S77,Dry,Wet,0.983466667,DryWet,Soil
2617,CO1-P4-S1-16s_S45,TX2-P1-S1-16s_S72,Dry,Wet,0.985666667,DryWet,Soil
2618,CO1-P4-S1-16s_S45,TX2-P2-S1-16s_S73,Dry,Wet,0.9792,DryWet,Soil
2619,CO1-P4-S1-16s_S45,TX2-P3-S1-16s_S74,Dry,Wet,0.988133333,DryWet,Soil
2620,CO1-P4-S1-16s_S45,TX2-P4-S1-16s_S75,Dry,Wet,0.9846,DryWet,Soil
2621,CO1-P4-S1-16s_S45,TX2-P5-S1-16s_S76,Dry,Wet,0.984533333,DryWet,Soil
2622,CO1-P4-S1-16s_S45,TX2-P6-S2-16s_S77,Dry,Wet,0.986933333,DryWet,Soil
2683,CO1-P5-S1-16s_S46,TX2-P1-S1-16s_S72,Dry,Wet,0.992866667,DryWet,Soil
2684,CO1-P5-S1-16s_S46,TX2-P2-S1-16s_S73,Dry,Wet,0.987733333,DryWet,Soil
2685,CO1-P5-S1-16s_S46,TX2-P3-S1-16s_S74,Dry,Wet,0.995133333,DryWet,Soil
2686,CO1-P5-S1-16s_S46,TX2-P4-S1-16s_S75,Dry,Wet,0.987533333,DryWet,Soil
2687,CO1-P5-S1-16s_S46,TX2-P5-S1-16s_S76,Dry,Wet,0.9928,DryWet,Soil
2688,CO1-P5-S1-16s_S46,TX2-P6-S2-16s_S77,Dry,Wet,0.9874,DryWet,Soil
2749,CO1-P6-S1-16s_S47,TX2-P1-S1-16s_S72,Dry,Wet,0.994866667,DryWet,Soil
2750,CO1-P6-S1-16s_S47,TX2-P2-S1-16s_S73,Dry,Wet,0.9858,DryWet,Soil
2751,CO1-P6-S1-16s_S47,TX2-P3-S1-16s_S74,Dry,Wet,0.995333333,DryWet,Soil
2752,CO1-P6-S1-16s_S47,TX2-P4-S1-16s_S75,Dry,Wet,0.991533333,DryWet,Soil
2753,CO1-P6-S1-16s_S47,TX2-P5-S1-16s_S76,Dry,Wet,0.988866667,DryWet,Soil
2754,CO1-P6-S1-16s_S47,TX2-P6-S2-16s_S77,Dry,Wet,0.979666667,DryWet,Soil
4646,NM1-P1-S1-16s_S36,MS1-P4-S1-16s_S33,Dry,Wet,0.996533333,DryWet,Soil
4647,NM1-P1-S1-16s_S36,MS1-P5-S1-16s_S34,Dry,Wet,0.973266667,DryWet,Soil
4648,NM1-P1-S1-16s_S36,MS1-P6-S1-16s_S35,Dry,Wet,0.994733333,DryWet,Soil
4712,NM1-P2-S1-16s_S37,MS1-P4-S1-16s_S33,Dry,Wet,0.987333333,DryWet,Soil
4713,NM1-P2-S1-16s_S37,MS1-P5-S1-16s_S34,Dry,Wet,0.960066667,DryWet,Soil
4714,NM1-P2-S1-16s_S37,MS1-P6-S1-16s_S35,Dry,Wet,0.968733333,DryWet,Soil
4778,NM1-P3-S1-16s_S38,MS1-P4-S1-16s_S33,Dry,Wet,0.994266667,DryWet,Soil
4779,NM1-P3-S1-16s_S38,MS1-P5-S1-16s_S34,Dry,Wet,0.975933333,DryWet,Soil
4780,NM1-P3-S1-16s_S38,MS1-P6-S1-16s_S35,Dry,Wet,0.985333333,DryWet,Soil
4844,NM1-P4-S1-16s_S39,MS1-P4-S1-16s_S33,Dry,Wet,0.9938,DryWet,Soil
4845,NM1-P4-S1-16s_S39,MS1-P5-S1-16s_S34,Dry,Wet,0.974733333,DryWet,Soil
