,SubjectID1,SubjectID2,Group1,Group2,Distance,Group3
0,AL1-P2_S28,AL1-P1_S27,Wet,Wet,0.945333333,WetWet
1,AL1-P4_S30,AL1-P1_S27,Wet,Wet,0.9008,WetWet
3,AL1-P5_S31,AL1-P1_S27,Wet,Wet,0.9062,WetWet
6,AL1-P6_S32,AL1-P1_S27,Wet,Wet,0.913,WetWet
1938,CO1-P1_S42,AL1-P1_S27,Dry,Wet,0.983466667,DryWet
2020,CO1-P2_S43,AL1-P1_S27,Dry,Wet,0.9856,DryWet
2102,CO1-P3_S44,AL1-P1_S27,Dry,Wet,0.9884,DryWet
2184,CO1-P4_S45,AL1-P1_S27,Dry,Wet,0.989333333,DryWet
2266,CO1-P5_S46,AL1-P1_S27,Dry,Wet,0.978133333,DryWet
2348,CO1-P6_S47,AL1-P1_S27,Dry,Wet,0.991,DryWet
45,IA1-P1_S1,AL1-P1_S27,Wet,Wet,0.9738,WetWet
55,IA1-P2_S9,AL1-P1_S27,Wet,Wet,0.9494,WetWet
66,IA1-P3_S10,AL1-P1_S27,Wet,Wet,0.947266667,WetWet
78,IA1-P4_S11,AL1-P1_S27,Wet,Wet,0.928866667,WetWet
91,IA1-P5_S12,AL1-P1_S27,Wet,Wet,0.9662,WetWet
105,IA1-P6_S13,AL1-P1_S27,Wet,Wet,0.947133333,WetWet
120,IL1-P1_S75,AL1-P1_S27,Wet,Wet,0.964866667,WetWet
136,IL1-P2_S76,AL1-P1_S27,Wet,Wet,0.971133333,WetWet
153,IL1-P3_S77,AL1-P1_S27,Wet,Wet,0.966666667,WetWet
171,IL1-P4_S78,AL1-P1_S27,Wet,Wet,0.969,WetWet
190,IL1-P5_S79,AL1-P1_S27,Wet,Wet,0.963933333,WetWet
210,IL1-P6_S80,AL1-P1_S27,Wet,Wet,0.9564,WetWet
231,IN1-P1_S23,AL1-P1_S27,Wet,Wet,0.972733333,WetWet
253,IN1-P2_S5,AL1-P1_S27,Wet,Wet,0.950933333,WetWet
276,IN1-P3_S24,AL1-P1_S27,Wet,Wet,0.967,WetWet
300,IN1-P4_S6,AL1-P1_S27,Wet,Wet,0.9602,WetWet
325,IN1-P5_S25,AL1-P1_S27,Wet,Wet,0.956066667,WetWet
351,IN1-P6_S26,AL1-P1_S27,Wet,Wet,0.942466667,WetWet
357,KS1-P1_S103,AL1-P1_S27,Mesic,Wet,0.9552,MesicWet
439,KS1-P2_S104,AL1-P1_S27,Mesic,Wet,0.9506,MesicWet
521,KS1-P3_S105,AL1-P1_S27,Mesic,Wet,0.938933333,MesicWet
603,KS1-P4_S106,AL1-P1_S27,Mesic,Wet,0.9402,MesicWet
685,KS1-P5_S107,AL1-P1_S27,Mesic,Wet,0.953133333,MesicWet
767,KS1-P6_S108,AL1-P1_S27,Mesic,Wet,0.935866667,MesicWet
2430,KS2-P1_S121,AL1-P1_S27,Dry,Wet,0.977,DryWet
2512,KS2-P2_S122,AL1-P1_S27,Dry,Wet,0.977133333,DryWet
2594,KS2-P3_S123,AL1-P1_S27,Dry,Wet,0.9798,DryWet
2676,KS2-P4_S124,AL1-P1_S27,Dry,Wet,0.978466667,DryWet
2758,KS2-P5_S125,AL1-P1_S27,Dry,Wet,0.974866667,DryWet
2840,KS2-P6_S126,AL1-P1_S27,Dry,Wet,0.988466667,DryWet
378,LA1-P1_S54,AL1-P1_S27,Wet,Wet,0.952333333,WetWet
406,LA1-P2_S55,AL1-P1_S27,Wet,Wet,0.966533333,WetWet
435,LA1-P6_S56,AL1-P1_S27,Wet,Wet,0.963,WetWet
465,MI1-P1_S14,AL1-P1_S27,Wet,Wet,0.964333333,WetWet
496,MI1-P2_S15,AL1-P1_S27,Wet,Wet,0.966333333,WetWet
528,MI1-P3_S16,AL1-P1_S27,Wet,Wet,0.9538,WetWet
561,MI1-P4_S17,AL1-P1_S27,Wet,Wet,0.975933333,WetWet
595,MI1-P5_S2,AL1-P1_S27,Wet,Wet,0.9712,WetWet
630,MI1-P6_S18,AL1-P1_S27,Wet,Wet,0.981133333,WetWet
2922,MN1-P1_S145,AL1-P1_S27,Dry,Wet,0.994066667,DryWet
3004,MN1-P2_S146,AL1-P1_S27,Dry,Wet,0.986266667,DryWet
3086,MN1-P3_S147,AL1-P1_S27,Dry,Wet,0.995266667,DryWet
3168,MN1-P4_S148,AL1-P1_S27,Dry,Wet,0.983466667,DryWet
3250,MN1-P5_S149,AL1-P1_S27,Dry,Wet,0.9834,DryWet
3332,MN1-P6_S150,AL1-P1_S27,Dry,Wet,0.980933333,DryWet
666,MO1-P1_S87,AL1-P1_S27,Wet,Wet,0.9496,WetWet
703,MO1-P2_S88,AL1-P1_S27,Wet,Wet,0.9362,WetWet
741,MO1-P3_S89,AL1-P1_S27,Wet,Wet,0.9452,WetWet
780,MO1-P4_S90,AL1-P1_S27,Wet,Wet,0.9444,WetWet
820,MO1-P5_S7,AL1-P1_S27,Wet,Wet,0.940666667,WetWet
861,MO1-P6_S91,AL1-P1_S27,Wet,Wet,0.9478,WetWet
903,MS1-P1_S33,AL1-P1_S27,Wet,Wet,0.9616,WetWet
946,MS1-P2_S34,AL1-P1_S27,Wet,Wet,0.958666667,WetWet
990,MS1-P3_S35,AL1-P1_S27,Wet,Wet,0.964933333,WetWet
1035,MS1-P4_S36,AL1-P1_S27,Wet,Wet,0.953733333,WetWet
1081,MS1-P5_S37,AL1-P1_S27,Wet,Wet,0.950333333,WetWet
1128,MS1-P6_S38,AL1-P1_S27,Wet,Wet,0.943733333,WetWet
3414,MT1-P1_S133,AL1-P1_S27,Dry,Wet,0.981933333,DryWet
3496,MT1-P2_S134,AL1-P1_S27,Dry,Wet,0.986466667,DryWet
3578,MT1-P3_S135,AL1-P1_S27,Dry,Wet,0.9892,DryWet
3660,MT1-P4_S136,AL1-P1_S27,Dry,Wet,0.967533333,DryWet
3742,MT1-P5_S137,AL1-P1_S27,Dry,Wet,0.986933333,DryWet
3824,MT1-P6_S138,AL1-P1_S27,Dry,Wet,0.981066667,DryWet
1176,NC1-P1_S63,AL1-P1_S27,Wet,Wet,0.960133333,WetWet
1225,NC1-P2_S64,AL1-P1_S27,Wet,Wet,0.941333333,WetWet
1275,NC1-P3_S65,AL1-P1_S27,Wet,Wet,0.950333333,WetWet
1326,NC1-P4_S66,AL1-P1_S27,Wet,Wet,0.955533333,WetWet
1378,NC1-P5_S67,AL1-P1_S27,Wet,Wet,0.953266667,WetWet
1431,NC1-P6_S68,AL1-P1_S27,Wet,Wet,0.950866667,WetWet
3906,ND1-P1_S139,AL1-P1_S27,Dry,Wet,0.987666667,DryWet
3988,ND1-P2_S140,AL1-P1_S27,Dry,Wet,0.994066667,DryWet
4070,ND1-P3_S141,AL1-P1_S27,Dry,Wet,0.983933333,DryWet
4152,ND1-P4_S142,AL1-P1_S27,Dry,Wet,0.993333333,DryWet
4234,ND1-P5_S143,AL1-P1_S27,Dry,Wet,0.991866667,DryWet
4316,ND1-P6_S144,AL1-P1_S27,Dry,Wet,0.993866667,DryWet
1485,NE1-P1_S109,AL1-P1_S27,Wet,Wet,0.954266667,WetWet
1540,NE1-P2_S110,AL1-P1_S27,Wet,Wet,0.9496,WetWet
1596,NE1-P5_S113,AL1-P1_S27,Wet,Wet,0.9294,WetWet
1653,NE1-P6_S114,AL1-P1_S27,Wet,Wet,0.9406,WetWet
4398,NE2-P1_S127,AL1-P1_S27,Dry,Wet,0.979266667,DryWet
4480,NE2-P2_S128,AL1-P1_S27,Dry,Wet,0.985066667,DryWet
4562,NE2-P3_S129,AL1-P1_S27,Dry,Wet,0.975133333,DryWet
4644,NE2-P4_S130,AL1-P1_S27,Dry,Wet,0.990533333,DryWet
4726,NE2-P5_S131,AL1-P1_S27,Dry,Wet,0.992533333,DryWet
4808,NE2-P6_S132,AL1-P1_S27,Dry,Wet,0.982,DryWet
4890,NM1-P2_S39,AL1-P1_S27,Dry,Wet,0.976666667,DryWet
4972,NM1-P3_S40,AL1-P1_S27,Dry,Wet,0.972866667,DryWet
5054,NM1-P6_S41,AL1-P1_S27,Dry,Wet,0.974066667,DryWet
5136,OK1-P1_S48,AL1-P1_S27,Dry,Wet,0.981,DryWet
5218,OK1-P2_S49,AL1-P1_S27,Dry,Wet,0.9786,DryWet
