SampleID,GC,TC,GT,AC,GG,AT,TT,TG,AG
CO1-P1_S42,0,0,1,0,1,0,0,0,0
CO1-P2_S43,0,0,0,0,0,1,0,0,0
CO1-P3_S44,0,1,0,0,1,0,0,0,0
CO1-P4_S45,0,0,0,0,0,1,0,0,0
CO1-P5_S46,1,0,0,1,1,0,0,0,0
IA1-P1_S1,1,0,0,0,0,0,0,0,0
IA1-P2_S9,0,1,0,0,0,0,0,0,0
IA1-P4_S11,0,0,0,0,0,0,0,1,0
IA1-P5_S12,0,0,0,0,1,0,0,0,0
IA1-P6_S13,0,1,0,0,0,0,0,0,0
IL1-P1_S75,0,0,0,0,1,0,0,0,0
IL1-P2_S76,1,0,0,0,0,0,0,0,0
IN1-P3_S24,0,1,0,0,0,0,0,0,0
IN1-P5_S25,0,0,0,0,0,0,0,1,0
KS1-P1_S103,1,0,0,0,0,0,0,0,0
KS1-P2_S104,0,0,1,0,0,0,0,0,0
KS1-P3_S105,0,0,1,0,0,0,0,0,0
KS1-P4_S106,1,0,0,0,0,1,0,0,0
KS1-P5_S107,0,0,1,0,0,1,0,0,0
KS2-P1_S121,0,0,0,1,0,0,0,0,0
KS2-P2_S122,0,0,0,0,0,0,1,0,0
KS2-P3_S123,0,0,1,0,0,1,0,0,0
KS2-P4_S124,0,0,1,0,0,0,0,0,0
KS2-P5_S125,0,0,0,0,0,1,0,0,0
KS2-P6_S126,0,0,0,0,0,0,2,0,0
LA1-P6_S56,0,0,0,0,1,0,0,1,0
MI1-P4_S17,1,0,0,0,0,0,0,0,0
MI1-P5_S2,3,0,0,1,0,0,1,0,0
MN1-P1_S145,1,0,0,0,0,0,0,0,0
MO1-P1_S87,0,1,0,0,0,0,0,0,0
MO1-P2_S88,0,0,0,0,0,0,0,1,0
MO1-P6_S91,0,0,0,0,0,0,1,0,0
MS1-P1_S33,1,0,0,0,0,0,0,0,0
MS1-P4_S36,0,0,0,0,1,0,0,0,0
MT1-P1_S133,0,0,0,0,1,0,0,0,0
MT1-P2_S134,0,1,0,1,0,0,0,0,0
MT1-P3_S135,0,0,1,0,0,1,0,0,0
MT1-P5_S137,1,0,1,0,0,0,0,0,0
NC1-P4_S66,0,0,0,0,1,0,0,0,0
ND1-P1_S139,0,0,1,1,1,0,0,0,1
ND1-P3_S141,0,0,0,0,0,1,0,1,0
ND1-P4_S142,2,0,1,1,0,1,0,0,0
ND1-P5_S143,0,1,0,1,1,1,1,1,0
ND1-P6_S144,1,1,1,1,1,0,0,0,0
NE1-P1_S109,1,0,0,0,0,0,0,0,0
NE1-P2_S110,0,0,0,0,1,1,0,0,0
NE1-P3_S111,1,0,0,0,0,0,0,0,0
NE1-P5_S113,2,1,0,1,0,0,1,0,0
NE1-P6_S114,0,1,0,0,0,0,0,0,0
NE2-P4_S130,0,0,0,1,0,0,1,0,0
NE2-P5_S131,1,0,0,1,0,0,0,0,0
NM1-P2_S39,4,1,1,0,0,0,2,0,0
NM1-P3_S40,1,1,1,0,0,0,0,0,1
NM1-P6_S41,0,0,0,0,1,0,0,1,0
OK1-P1_S48,0,0,0,0,1,0,1,0,0
OK1-P2_S49,0,1,2,0,0,1,0,0,0
OK1-P3_S50,0,0,1,0,0,0,0,0,1
OK1-P5_S52,1,1,0,0,0,2,1,0,1
OK1-P6_S53,0,0,0,1,0,0,0,1,0
SC1-P3_S94,2,0,0,0,0,0,0,0,0
SC1-P4_S95,0,1,0,0,0,0,0,0,0
SC1-P5_S96,1,0,0,0,0,0,0,0,0
SD1-P1_S115,0,0,0,3,0,0,0,0,0
SD1-P2_S116,0,0,0,1,0,2,0,0,0
SD1-P3_S117,0,1,0,2,0,1,1,0,0
SD1-P4_S118,1,0,0,0,0,0,0,0,1
SD1-P5_S119,3,0,0,1,1,0,0,0,0
SD1-P6_S120,3,1,1,2,0,0,1,0,1
TX1-P1_S57,1,0,0,0,0,0,0,0,0
TX1-P6_S62,0,0,1,0,0,0,0,0,0
TX2-P1_S69,0,0,1,0,0,0,0,0,0
TX2-P4_S72,0,0,1,0,0,0,0,0,0
TX2-P5_S73,1,0,0,0,0,0,0,0,0
TX3-P1_S81,0,0,1,0,0,0,1,0,0
TX3-P2_S82,1,0,0,0,1,0,0,0,0
TX3-P3_S83,0,1,0,1,1,0,0,0,0
TX3-P4_S84,2,0,0,0,0,1,0,0,0
TX3-P5_S85,1,0,0,1,1,0,0,1,0
TX3-P6_S86,1,1,1,1,0,0,0,0,0
WI1-P1_S19,1,0,0,0,0,0,0,0,0
WI1-P2_S20,0,0,0,0,0,0,1,0,0
WI1-P3_S3,3,0,0,1,0,0,0,0,0
WI1-P4_S4,0,0,0,0,0,0,1,0,0
WI1-P5_S21,0,2,0,0,1,0,0,0,0
WI1-P6_S22,2,2,1,0,0,0,0,0,0
