SampleID,CA,CT,CG,GT,GA,TA,TT,GG,TG
AL1-P1-S1-16s_S25,0,0,0,1,0,0,1,0,0
AL1-P2-S1-16s_S26,0,0,1,0,0,0,1,0,0
AL1-P6-S1-16s_S30,0,1,0,0,2,0,0,1,0
CO1-P1-S1-16s_S42,0,0,0,1,0,0,0,0,0
CO1-P3-S1-16s_S44,0,1,1,0,1,0,0,0,0
CO1-P4-S1-16s_S45,0,1,0,0,0,0,0,0,0
CO1-P5-S1-16s_S46,1,1,0,1,0,0,0,0,0
CO1-P6-S1-16s_S47,0,0,1,0,0,0,0,0,0
IA1-P1-S1-16s_S1,2,1,2,0,0,0,0,0,0
IA1-P2-S1-16s_S2,0,1,0,0,0,1,0,0,0
IA1-P3-S1-16s_S3,2,2,0,1,0,0,0,1,0
IA1-P4-S1-16s_S4,0,0,0,0,0,0,1,0,0
IA1-P5-S1-16s_S5,2,1,0,0,0,0,1,0,0
IA1-P6-S1-16s_S6,2,1,0,0,0,0,1,0,0
IL1-P3-S1-16s_S80,0,0,1,0,0,0,0,0,1
IL1-P4-S1-16s_S81,0,0,1,0,0,0,0,0,0
IL1-P5-S1-16s_S82,2,1,0,0,0,1,0,0,0
IL1-P6-S1-16s_S83,2,0,0,0,0,1,0,0,0
IN1-P1-S1-16s_S19,1,0,0,1,0,0,1,0,0
IN1-P2-S1-16s_S20,0,0,0,0,1,0,0,0,0
IN1-P4-S1-16s_S22,0,0,0,1,0,0,0,0,0
IN1-P5-S1-16s_S23,1,0,0,0,0,0,0,0,0
IN1-P6-S1-16s_S24,0,0,0,0,0,0,0,0,1
KS1-P2-S1-16s_S110,0,1,0,0,0,0,0,0,0
KS1-P4-S1-16s_S112,0,0,0,0,0,0,1,0,0
KS1-P6-S1-16s_S114,2,0,0,0,0,0,0,0,1
KS2-P2-S1-16s_S128,0,0,1,0,0,0,0,0,0
LA1-P1-S1-16s_S54,0,0,1,0,0,1,0,0,0
LA1-P2-S1-16s_S55,0,1,0,0,1,0,0,0,0
LA1-P3-S1-16s_S56,1,0,0,0,0,0,0,0,0
LA1-P4-S1-16s_S57,1,1,0,0,0,1,1,0,0
LA1-P5-S2-16s_S58,2,0,0,0,0,1,0,0,0
LA1-P6-S2-16s_S59,1,1,0,0,0,0,0,0,0
