SampleID,CA,CG,CT,GG,AG,GT,TG,TT
CO1-P1-S1-16s_S42,1,1,0,0,0,0,0,0
CO1-P2-S1-16s_S43,1,0,0,0,0,0,0,0
CO1-P3-S1-16s_S44,1,0,0,0,1,1,0,0
CO1-P4-S1-16s_S45,2,0,0,0,0,0,0,0
CO1-P5-S1-16s_S46,0,1,0,0,0,0,0,0
IA1-P2-S1-16s_S2,0,0,1,0,0,1,0,0
IA1-P5-S1-16s_S5,0,0,1,1,0,0,0,0
IA1-P6-S1-16s_S6,0,1,1,0,0,0,0,0
IL1-P2-S1-16s_S79,0,0,0,1,0,0,0,0
IN1-P4-S1-16s_S22,0,0,0,0,0,1,0,0
KS1-P2-S1-16s_S110,1,0,0,0,0,0,0,0
KS1-P4-S1-16s_S112,0,1,0,0,0,0,0,0
KS1-P5-S1-16s_S113,0,1,0,1,0,0,0,0
KS1-P6-S1-16s_S114,1,0,0,1,0,0,0,0
KS2-P2-S1-16s_S128,1,0,0,0,0,0,0,0
KS2-P4-S1-16s_S130,0,0,0,0,0,1,0,0
KS2-P5-S1-16s_S131,1,0,0,0,0,0,0,0
KS2-P6-S1-16s_S132,1,0,0,0,0,0,0,0
LA1-P2-S1-16s_S55,0,0,0,0,1,0,0,0
MN1-P2-S1-16s_S152,1,0,0,0,0,0,0,0
MN1-P4-S1-16s_S154,1,0,0,0,0,0,0,0
MN1-P6-S1-16s_S156,0,0,1,1,0,0,0,0
MS1-P2-S1-16s_S32,0,0,0,0,1,0,0,0
MT1-P2-S1-16s_S140,0,0,1,0,1,0,0,0
MT1-P5-S1-16s_S143,1,0,0,0,0,0,0,0
ND1-P1-S1-16s_S145,1,0,2,0,1,0,0,0
ND1-P2-S1-16s_S146,1,0,0,0,2,0,0,0
ND1-P3-S1-16s_S147,1,1,1,1,1,0,0,0
ND1-P5-S1-16s_S149,1,0,1,0,1,0,0,0
ND1-P6-S1-16s_S150,1,1,1,0,1,0,0,0
NE1-P1-S1-16s_S115,0,1,0,0,0,0,0,0
NE1-P2-S1-16s_S116,0,0,1,0,0,0,0,0
NE1-P3-S1-16s_S117,1,0,1,1,0,0,0,0
NE1-P4-S1-16s_S118,1,0,0,1,1,0,0,0
NE1-P5-S1-16s_S119,1,0,0,2,1,0,0,0
NE1-P6-S1-16s_S120,0,0,0,1,0,0,0,0
NE2-P2-S1-16s_S134,0,0,0,0,0,0,1,0
NE2-P4-S1-16s_S136,1,0,0,0,1,0,1,0
NE2-P5-S1-16s_S137,1,0,0,0,0,0,0,0
NE2-P6-S1-16s_S138,0,1,0,0,0,0,0,0
NM1-P1-S1-16s_S36,1,0,0,0,0,1,0,0
NM1-P2-S1-16s_S37,2,1,3,0,1,2,0,0
NM1-P3-S1-16s_S38,0,3,1,0,1,1,0,0
NM1-P4-S1-16s_S39,0,1,0,0,0,1,0,0
NM1-P5-S1-16s_S40,2,2,2,0,0,0,0,0
NM1-P6-S1-16s_S41,0,2,1,0,0,0,1,0
OK1-P1-S2-16s_S48,1,1,0,0,0,0,0,0
OK1-P2-S2-16s_S49,1,0,0,0,0,1,0,0
OK1-P3-S1-16s_S50,2,1,0,0,1,0,1,0
OK1-P4-S1-16s_S51,0,1,1,0,0,1,1,0
OK1-P5-S1-16s_S52,0,2,0,0,0,1,0,0
OK1-P6-S1-16s_S53,1,2,0,0,0,0,0,0
SC1-P2-S1-16s_S98,0,0,0,1,0,0,0,0
SC1-P4-S1-16s_S100,0,0,0,0,0,1,0,0
SC1-P5-S1-16s_S101,0,0,0,1,0,0,0,0
SC1-P6-S1-16s_S102,0,0,0,0,0,1,0,0
SD1-P1-S1-16s_S121,2,1,1,0,1,0,1,0
SD1-P2-S1-16s_S122,2,2,0,0,0,0,0,0
SD1-P3-S1-16s_S123,1,1,1,0,0,0,0,0
SD1-P4-S1-16s_S124,0,1,1,0,0,0,0,0
SD1-P5-S1-16s_S125,1,1,0,0,1,0,0,0
SD1-P6-S1-16s_S126,1,0,0,1,1,0,0,0
TX1-P1-S1-16s_S60,0,0,0,1,0,1,0,0
TX1-P6-S1-16s_S65,0,0,0,1,1,0,0,0
TX2-P2-S1-16s_S73,0,1,0,0,0,0,0,0
TX2-P4-S1-16s_S75,0,1,0,0,0,0,0,0
TX2-P5-S1-16s_S76,0,0,0,0,1,0,0,0
TX3-P2-S1-16s_S85,1,2,0,0,0,1,0,0
TX3-P3-S1-16s_S86,1,1,0,0,0,0,0,0
TX3-P4-S1-16s_S87,1,3,0,0,0,1,0,0
TX3-P5-S1-16s_S88,0,1,0,0,0,1,0,0
TX3-P6-S1-16s_S89,1,2,0,0,0,0,0,0
WI1-P1-S1-16s_S13,0,0,0,1,1,1,0,0
WI1-P4-S2-16s_S16,0,0,1,0,0,0,0,0
WI1-P5-S1-16s_S17,0,0,0,2,0,1,0,1
WI1-P6-S1-16s_S18,0,0,1,3,0,1,0,0
