SampleID,TA,CG,GC,TG,AT,GT,GG
AL1-P2_S28,1,0,1,1,0,0,0
AL1-P3_S29,1,0,0,0,0,0,0
AL1-P4_S30,1,0,0,0,0,0,0
AL1-P6_S32,1,0,0,0,0,0,0
CO1-P1_S42,2,0,2,0,0,0,0
CO1-P2_S43,4,0,2,0,0,0,0
CO1-P3_S44,1,0,0,1,0,0,0
CO1-P4_S45,1,1,0,0,0,0,1
CO1-P6_S47,0,1,1,0,0,0,0
IA1-P5_S12,1,0,0,0,0,0,0
IL1-P1_S75,1,0,1,0,0,0,0
IL1-P2_S76,2,0,0,1,0,0,0
IL1-P3_S77,2,0,0,0,0,0,0
IL1-P4_S78,1,0,1,0,0,0,0
IN1-P1_S23,1,0,0,0,0,0,0
IN1-P2_S5,0,1,0,0,1,0,0
IN1-P3_S24,1,2,1,0,0,0,0
IN1-P4_S6,3,1,0,1,1,0,0
IN1-P5_S25,1,0,0,0,0,0,0
IN1-P6_S26,2,0,0,0,0,0,0
KS1-P1_S103,0,1,0,0,0,0,0
KS1-P3_S105,1,0,0,0,0,0,0
KS1-P4_S106,1,1,0,0,0,0,0
KS1-P5_S107,1,0,1,0,0,0,0
KS2-P1_S121,0,1,0,0,0,0,0
KS2-P3_S123,1,0,0,0,0,0,0
KS2-P4_S124,0,1,1,0,1,0,0
LA1-P1_S54,2,0,0,0,1,0,0
LA1-P2_S55,3,0,0,0,0,0,0
LA1-P6_S56,1,0,1,0,0,0,0
MI1-P1_S14,0,1,1,0,0,0,0
MI1-P3_S16,0,0,0,1,0,0,0
MI1-P4_S17,1,0,0,0,1,0,0
MI1-P5_S2,0,0,0,1,0,0,0
MI1-P6_S18,0,0,1,0,0,0,0
MN1-P1_S145,0,0,0,0,0,0,1
MN1-P2_S146,1,0,0,2,0,0,0
MN1-P6_S150,1,0,0,1,0,0,0
MO1-P2_S88,1,0,0,0,0,0,0
MO1-P3_S89,0,0,2,1,0,0,0
MO1-P4_S90,0,1,1,1,0,0,0
MO1-P5_S7,0,0,1,0,0,0,0
MO1-P6_S91,0,0,2,0,1,0,0
MS1-P1_S33,2,1,2,0,0,0,0
MS1-P2_S34,0,1,0,1,0,0,0
MS1-P3_S35,4,2,0,0,0,0,0
MS1-P4_S36,2,0,1,1,0,0,0
MS1-P5_S37,4,2,0,0,0,0,0
MS1-P6_S38,1,2,1,1,0,0,0
MT1-P1_S133,0,0,1,1,0,0,0
MT1-P2_S134,0,1,0,1,0,0,0
MT1-P3_S135,2,0,1,0,0,0,0
MT1-P4_S136,0,0,1,0,0,0,0
MT1-P5_S137,1,0,1,2,0,0,1
MT1-P6_S138,0,1,0,0,0,0,0
NC1-P1_S63,0,3,0,0,0,0,0
NC1-P2_S64,1,0,0,0,0,0,0
NC1-P3_S65,1,0,0,0,0,0,0
NC1-P4_S66,1,0,1,1,0,0,0
NC1-P6_S68,1,0,0,1,0,0,0
ND1-P1_S139,1,3,1,0,0,0,0
ND1-P2_S140,1,0,0,1,0,0,0
ND1-P3_S141,1,2,0,1,0,0,0
ND1-P4_S142,1,2,2,2,0,0,0
ND1-P5_S143,1,1,0,0,0,0,0
ND1-P6_S144,1,2,1,0,0,0,0
NE1-P1_S109,1,0,0,0,0,0,0
NE1-P2_S110,2,0,0,0,0,0,0
NE1-P4_S112,1,0,0,0,0,0,0
NE1-P5_S113,2,0,1,1,0,0,0
NE1-P6_S114,1,0,0,0,0,0,0
NE2-P2_S128,0,0,1,0,0,0,0
NE2-P3_S129,0,1,1,0,0,0,0
NE2-P4_S130,0,0,1,0,0,0,0
NE2-P6_S132,0,1,1,0,0,0,0
NM1-P3_S40,1,0,1,1,0,0,0
NM1-P6_S41,0,3,0,0,0,0,0
OK1-P1_S48,1,0,0,0,0,0,0
OK1-P2_S49,1,1,1,0,0,1,0
OK1-P5_S52,0,0,1,0,0,0,0
OK1-P6_S53,0,0,0,0,0,1,0
SC1-P1_S92,3,1,0,2,2,0,0
SC1-P2_S93,2,2,0,0,1,0,0
SC1-P3_S94,0,4,1,0,0,0,0
SC1-P4_S95,3,0,0,0,1,0,0
SC1-P5_S96,2,2,0,1,0,0,0
SC1-P6_S97,3,3,0,0,0,0,0
SD1-P1_S115,0,1,1,0,1,0,0
SD1-P2_S116,1,0,1,0,0,0,0
SD1-P3_S117,0,0,1,0,0,0,0
SD1-P5_S119,1,0,0,0,0,0,0
SD1-P6_S120,0,1,0,0,0,0,0
TX1-P1_S57,1,1,0,1,0,0,0
TX1-P2_S58,2,0,0,2,0,0,0
TX1-P3_S59,0,0,1,0,0,0,0
TX1-P4_S60,0,0,1,1,0,0,0
TX1-P5_S61,1,0,1,1,0,0,0
TX1-P6_S62,2,0,0,1,0,0,0
TX2-P2_S70,1,0,2,0,0,0,0
TX2-P3_S71,1,1,0,0,0,1,0
TX2-P4_S72,1,0,1,0,0,0,0
TX2-P5_S73,0,1,0,0,0,0,0
TX2-P6_S74,2,0,1,0,0,0,0
TX3-P1_S81,0,2,1,0,0,0,0
TX3-P2_S82,0,1,1,0,0,0,0
TX3-P3_S83,0,3,1,0,0,0,0
TX3-P4_S84,0,1,1,1,0,0,0
TX3-P5_S85,0,2,1,1,1,0,0
TX3-P6_S86,0,1,0,1,0,0,0
WI1-P2_S20,3,0,0,0,0,0,0
WI1-P3_S3,0,1,0,1,0,0,0
WI1-P4_S4,1,1,0,0,0,0,0
WI1-P5_S21,2,0,5,0,0,0,0
WI1-P6_S22,2,2,3,0,0,0,0
