SampleID,Ecotype,Location,Type,Location2,PR,pH,Ecotype2,pHPR,Sobs,Shannon,Faith
AL1-P1-S,Wet,AL1-S,Soil,AL1,16.5,5.8,Wet-S,2.844827586,424,8.392635781,35.77695871
AL1-P2-S,Wet,AL1-S,Soil,AL1,16.5,5.8,Wet-S,2.844827586,375,8.197103959,36.73783617
AL1-P3-S,Wet,AL1-S,Soil,AL1,16.5,5.8,Wet-S,2.844827586,NA,NA,NA
AL1-P4-S,Wet,AL1-S,Soil,AL1,16.5,5.8,Wet-S,2.844827586,348,8.08721429,32.81515834
AL1-P5-S,Wet,AL1-S,Soil,AL1,16.5,5.8,Wet-S,2.844827586,NA,NA,NA
AL1-P6-S,Wet,AL1-S,Soil,AL1,16.5,5.8,Wet-S,2.844827586,364,8.204551163,33.0990197
CO1-P1-S,Dry,CO1-S,Soil,CO1,6.52,6.2,Dry-S,1.051612903,504,8.658370125,44.14693715
CO1-P2-S,Dry,CO1-S,Soil,CO1,6.52,6.2,Dry-S,1.051612903,553,8.801019594,46.64313256
CO1-P3-S,Dry,CO1-S,Soil,CO1,6.52,6.2,Dry-S,1.051612903,471,8.50375501,46.59009882
CO1-P4-S,Dry,CO1-S,Soil,CO1,6.52,6.2,Dry-S,1.051612903,525,8.657935894,48.831242
CO1-P5-S,Dry,CO1-S,Soil,CO1,6.52,6.2,Dry-S,1.051612903,412,8.325741353,37.31722761
CO1-P6-S,Dry,CO1-S,Soil,CO1,6.52,6.2,Dry-S,1.051612903,535,8.736739979,44.92567762
IA1-P1-S,Mesic,IA1-S,Soil,IA1,12.6,6.3,Mesic-S,2,590,8.847218392,50.59057255
IA1-P2-S,Mesic,IA1-S,Soil,IA1,12.6,6.3,Mesic-S,2,596,8.869128619,49.26127263
IA1-P3-S,Mesic,IA1-S,Soil,IA1,12.6,6.3,Mesic-S,2,639,8.9638621,49.14976563
IA1-P4-S,Mesic,IA1-S,Soil,IA1,12.6,6.3,Mesic-S,2,559,8.778872976,45.99840704
IA1-P5-S,Mesic,IA1-S,Soil,IA1,12.6,6.3,Mesic-S,2,555,8.794344215,43.85367199
IA1-P6-S,Mesic,IA1-S,Soil,IA1,12.6,6.3,Mesic-S,2,550,8.773766636,47.29897049
IL1-P1-S,Wet,IL1-S,Soil,IL1,13.4,5.6,Wet-S,2.392857143,384,8.180642158,42.15416875
IL1-P2-S,Wet,IL1-S,Soil,IL1,13.4,5.6,Wet-S,2.392857143,383,8.15966239,42.58515861
IL1-P3-S,Wet,IL1-S,Soil,IL1,13.4,5.6,Wet-S,2.392857143,631,8.933976677,58.14357264
IL1-P4-S,Wet,IL1-S,Soil,IL1,13.4,5.6,Wet-S,2.392857143,592,8.851714989,56.14806432
IL1-P5-S,Wet,IL1-S,Soil,IL1,13.4,5.6,Wet-S,2.392857143,572,8.731539503,60.25430752
IL1-P6-S,Wet,IL1-S,Soil,IL1,13.4,5.6,Wet-S,2.392857143,451,8.376347821,45.56979197
IN1-P1-S,Wet,IN1-S,Soil,IN1,11.5,6.5,Wet-S,1.769230769,646,8.951502112,62.86851548
IN1-P2-S,Wet,IN1-S,Soil,IN1,11.5,6.5,Wet-S,1.769230769,550,8.781101871,49.46020012
IN1-P3-S,Wet,IN1-S,Soil,IN1,11.5,6.5,Wet-S,1.769230769,623,8.933737721,52.2287449
IN1-P4-S,Wet,IN1-S,Soil,IN1,11.5,6.5,Wet-S,1.769230769,570,8.817799021,50.64366713
IN1-P5-S,Wet,IN1-S,Soil,IN1,11.5,6.5,Wet-S,1.769230769,536,8.699349106,50.60504857
IN1-P6-S,Wet,IN1-S,Soil,IN1,11.5,6.5,Wet-S,1.769230769,476,8.549749411,44.8608503
KS1-P1-S,Mesic,KS1-S,Soil,KS1,12.8,7.8,Mesic-S,1.641025641,384,8.203167458,37.52661777
KS1-P2-S,Mesic,KS1-S,Soil,KS1,12.8,7.8,Mesic-S,1.641025641,NA,NA,NA
KS1-P3-S,Mesic,KS1-S,Soil,KS1,12.8,7.8,Mesic-S,1.641025641,NA,NA,NA
KS1-P4-S,Mesic,KS1-S,Soil,KS1,12.8,7.8,Mesic-S,1.641025641,516,8.661711215,43.67084849
KS1-P5-S,Mesic,KS1-S,Soil,KS1,12.8,7.8,Mesic-S,1.641025641,552,8.757907252,49.31778384
KS1-P6-S,Mesic,KS1-S,Soil,KS1,12.8,7.8,Mesic-S,1.641025641,590,8.846680831,46.45717571
KS2-P1-S,Dry,KS2-S,Soil,KS2,9.21,7.7,Dry-S,1.196103896,NA,NA,NA
KS2-P2-S,Dry,KS2-S,Soil,KS2,9.21,7.7,Dry-S,1.196103896,346,8.043136151,37.58441501
KS2-P3-S,Dry,KS2-S,Soil,KS2,9.21,7.7,Dry-S,1.196103896,348,8.052830337,38.90551906
KS2-P4-S,Dry,KS2-S,Soil,KS2,9.21,7.7,Dry-S,1.196103896,384,8.162024038,39.68108294
KS2-P5-S,Dry,KS2-S,Soil,KS2,9.21,7.7,Dry-S,1.196103896,312,7.846717741,35.3297373
KS2-P6-S,Dry,KS2-S,Soil,KS2,9.21,7.7,Dry-S,1.196103896,NA,NA,NA
LA1-P1-S,Wet,LA1-S,Soil,LA1,16.7,8,Wet-S,2.0875,500,8.630160527,49.57322938
LA1-P2-S,Wet,LA1-S,Soil,LA1,16.7,8,Wet-S,2.0875,461,8.465061323,44.28123324
LA1-P3-S,Wet,LA1-S,Soil,LA1,16.7,8,Wet-S,2.0875,355,8.13648008,36.47826714
LA1-P4-S,Wet,LA1-S,Soil,LA1,16.7,8,Wet-S,2.0875,NA,NA,NA
LA1-P5-S,Wet,LA1-S,Soil,LA1,16.7,8,Wet-S,2.0875,372,8.17359522,40.78195004
LA1-P6-S,Wet,LA1-S,Soil,LA1,16.7,8,Wet-S,2.0875,NA,NA,NA
MI1-P1-S,Wet,MI1-S,Soil,MI1,11.1,6,Wet-S,1.85,616,8.848282359,61.27584462
MI1-P2-S,Wet,MI1-S,Soil,MI1,11.1,6,Wet-S,1.85,567,8.731588564,59.75500645
MI1-P3-S,Wet,MI1-S,Soil,MI1,11.1,6,Wet-S,1.85,449,8.408450006,46.54368804
MI1-P4-S,Wet,MI1-S,Soil,MI1,11.1,6,Wet-S,1.85,457,8.372209736,56.74242673
MI1-P5-S,Wet,MI1-S,Soil,MI1,11.1,6,Wet-S,1.85,417,8.332613996,43.95435293
MI1-P6-S,Wet,MI1-S,Soil,MI1,11.1,6,Wet-S,1.85,435,8.296172543,51.29295221
MN1-P1-S,Dry,MN1-S,Soil,MN1,9.71,5.8,Dry-S,1.674137931,400,8.208162792,41.37485491
MN1-P2-S,Dry,MN1-S,Soil,MN1,9.71,5.8,Dry-S,1.674137931,382,8.109119998,43.95124347
MN1-P3-S,Dry,MN1-S,Soil,MN1,9.71,5.8,Dry-S,1.674137931,474,8.487336469,46.86365533
MN1-P4-S,Dry,MN1-S,Soil,MN1,9.71,5.8,Dry-S,1.674137931,509,8.582877651,49.31424852
MN1-P5-S,Dry,MN1-S,Soil,MN1,9.71,5.8,Dry-S,1.674137931,397,8.253248894,43.47749412
MN1-P6-S,Dry,MN1-S,Soil,MN1,9.71,5.8,Dry-S,1.674137931,387,8.189549492,40.39104942
