ASV,Comparison,t_stat,p_value,Log2_Fold_Change
Chloroflexi,Dry-Soil vs. Dry-Rhizobiome,9.588912578,1.70E-08,NA
Chloroflexi,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,5.922922297,3.89E-08,NA
Entotheonellaeota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,7.096538189,1.25E-07,NA
Myxococcota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,7.374291223,1.68E-07,NA
Armatimonadota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,7.503124639,2.06E-05,NA
Crenarchaeota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,4.469007451,0.000191858,NA
Patescibacteria,Wet-Soil vs. Dry-Soil,12.82297285,0.000213201,0.192606749
Halobacterota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,5.311777447,0.000370673,2.466701721
Fibrobacterota,Dry-Soil vs. Dry-Rhizobiome,6.975302296,0.002221353,NA
Fibrobacterota,Wet-Soil vs. Dry-Soil,6.975302296,0.002221353,-1.703162886
Spirochaetota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,3.918179262,0.002400338,NA
Patescibacteria,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,3.613173313,0.003558846,NA
Patescibacteria,Dry-Soil vs. Dry-Rhizobiome,5.935184806,0.004040069,-0.45762304
Bdellovibrionota,Wet-Rhizobiome vs. Dry-Rhizobiome,9.670020995,0.010525578,2.311238371
Bdellovibrionota,Wet-Soil vs. Wet-Rhizobiome,9.670020995,0.010525578,NA
Proteobacteria,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,2.529579107,0.011917791,0.393583762
Acidobacteriota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,-2.626556867,0.013163751,-0.721925842
Firmicutes,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,-2.39230025,0.021849569,-0.95614708
Myxococcota,Wet-Soil vs. Dry-Soil,28.4997887,0.022328541,-5.725391878
Spirochaetota,Wet-Rhizobiome vs. Dry-Rhizobiome,3.178521508,0.024578913,NA
Spirochaetota,Wet-Soil vs. Wet-Rhizobiome,3.178521508,0.024578913,-0.945447517
Planctomycetota,Dry-Soil vs. Dry-Rhizobiome,2.142170009,0.098846593,NA
Planctomycetota,Wet-Rhizobiome vs. Dry-Rhizobiome,2.142170009,0.098846593,-2.008463775
Nanoarchaeota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,6.01863354,0.104817272,NA
Elusimicrobiota,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,1.661994339,0.124716064,NA
Chloroflexi,Wet-Soil vs. Dry-Soil,1.626283857,0.142541727,NA
Acidobacteriota,Wet-Rhizobiome vs. Dry-Rhizobiome,2.296798483,0.148473949,NA
Acidobacteriota,Wet-Soil vs. Wet-Rhizobiome,2.296798483,0.148473949,1.759473998
Cyanobacteria,Wet-Soil vs. Wet-Rhizobiome,-1.482329827,0.159540538,-0.799857928
Chloroflexi,Wet-Rhizobiome vs. Dry-Rhizobiome,1.573338228,0.161826675,0.784499124
Myxococcota,Dry-Soil vs. Dry-Rhizobiome,2.424130043,0.240191167,1.208462519
Zixibacteria,Wet-Rhizobiome:Wet-Soil vs. Dry-Rhizobiome:Dry-Soil,1.634848889,0.243703255,NA
