SampleID,Location,Ecotype,pH,Sikora_pH,P,K,TN,TC,CN,Sand,Silt,Clay,Lat,Long,PR,PRpH,Location2
AL1-P1-S1-16s_S25,AL,Wet,5.8,6.8,3,80,0.18,3.13,17.2,54,29,17,32.904482,-88.318061,16.5,2.844827586,AL1
AL1-P2-S1-16s_S26,AL,Wet,5.8,6.8,3,80,0.18,3.13,17.2,54,29,17,32.904482,-88.318061,16.5,2.844827586,AL1
AL1-P3-S2-16s_S27,AL,Wet,5.8,6.8,3,80,0.18,3.13,17.2,54,29,17,32.904482,-88.318061,16.5,2.844827586,AL1
AL1-P4-S1-16s_S28,AL,Wet,5.8,6.8,3,80,0.18,3.13,17.2,54,29,17,32.904482,-88.318061,16.5,2.844827586,AL1
AL1-P5-S1-16s_S29,AL,Wet,5.8,6.8,3,80,0.18,3.13,17.2,54,29,17,32.904482,-88.318061,16.5,2.844827586,AL1
AL1-P6-S1-16s_S30,AL,Wet,5.8,6.8,3,80,0.18,3.13,17.2,54,29,17,32.904482,-88.318061,16.5,2.844827586,AL1
CO1-P1-S1-16s_S42,CO,Dry,6.2,7,14,39,0.13,1.03,7.9,59,26,15,39.976778,-105.19967,6.52,1.051612903,CO1
CO1-P2-S1-16s_S43,CO,Dry,6.2,7,14,39,0.13,1.03,7.9,59,26,15,39.976778,-105.19967,6.52,1.051612903,CO1
CO1-P3-S1-16s_S44,CO,Dry,6.2,7,14,39,0.13,1.03,7.9,59,26,15,39.976778,-105.19967,6.52,1.051612903,CO1
CO1-P4-S1-16s_S45,CO,Dry,6.2,7,14,39,0.13,1.03,7.9,59,26,15,39.976778,-105.19967,6.52,1.051612903,CO1
CO1-P5-S1-16s_S46,CO,Dry,6.2,7,14,39,0.13,1.03,7.9,59,26,15,39.976778,-105.19967,6.52,1.051612903,CO1
CO1-P6-S1-16s_S47,CO,Dry,6.2,7,14,39,0.13,1.03,7.9,59,26,15,39.976778,-105.19967,6.52,1.051612903,CO1
