SampleID,Location,Ecotype,pH,Sikora_pH,P,K,TN,TC,CN,Sand,Silt,Clay,Lat,Long,PR,PRpH,Location2
AL1-P1_S27,AL,Wet,5.8,6.8,3,80,0.18,3.13,17.2,54,29,17,32.904482,-88.318061,16.5,2.84,AL1
AL1-P2_S28,AL,Wet,5.8,6.8,3,80,0.18,3.13,17.2,54,29,17,32.904482,-88.318061,16.5,2.84,AL1
AL1-P3_S29,AL,Wet,5.8,6.8,3,80,0.18,3.13,17.2,54,29,17,32.904482,-88.318061,16.5,2.84,AL1
AL1-P4_S30,AL,Wet,5.8,6.8,3,80,0.18,3.13,17.2,54,29,17,32.904482,-88.318061,16.5,2.84,AL1
AL1-P5_S31,AL,Wet,5.8,6.8,3,80,0.18,3.13,17.2,54,29,17,32.904482,-88.318061,16.5,2.84,AL1
AL1-P6_S32,AL,Wet,5.8,6.8,3,80,0.18,3.13,17.2,54,29,17,32.904482,-88.318061,16.5,2.84,AL1
CO1-P1_S42,CO,Dry,6.2,7,14,39,0.13,1.03,7.9,59,26,15,39.97678,-105.19967,6.52,1.05,CO1
CO1-P2_S43,CO,Dry,6.2,7,14,39,0.13,1.03,7.9,59,26,15,39.97678,-105.19967,6.52,1.05,CO1
CO1-P3_S44,CO,Dry,6.2,7,14,39,0.13,1.03,7.9,59,26,15,39.97678,-105.19967,6.52,1.05,CO1
CO1-P4_S45,CO,Dry,6.2,7,14,39,0.13,1.03,7.9,59,26,15,39.97678,-105.19967,6.52,1.05,CO1
CO1-P5_S46,CO,Dry,6.2,7,14,39,0.13,1.03,7.9,59,26,15,39.97678,-105.19967,6.52,1.05,CO1
CO1-P6_S47,CO,Dry,6.2,7,14,39,0.13,1.03,7.9,59,26,15,39.97678,-105.19967,6.52,1.05,CO1
IA1-P1_S1,IA,Wet,6.3,6.8,16,445,0.3,4.23,14.1,44,41,15,41.564388,-93.25567,12.6,2,IA1
IA1-P2_S9,IA,Wet,6.3,6.8,16,445,0.3,4.23,14.1,44,41,15,41.564388,-93.25567,12.6,2,IA1
IA1-P3_S10,IA,Wet,6.3,6.8,16,445,0.3,4.23,14.1,44,41,15,41.564388,-93.25567,12.6,2,IA1
IA1-P4_S11,IA,Wet,6.3,6.8,16,445,0.3,4.23,14.1,44,41,15,41.564388,-93.25567,12.6,2,IA1
IA1-P5_S12,IA,Wet,6.3,6.8,16,445,0.3,4.23,14.1,44,41,15,41.564388,-93.25567,12.6,2,IA1
IA1-P6_S13,IA,Wet,6.3,6.8,16,445,0.3,4.23,14.1,44,41,15,41.564388,-93.25567,12.6,2,IA1
IL1-P1_S75,IL,Wet,5.6,7.2,6,57,0.09,0.37,3.9,15,67,18,37.853558,-89.231378,13.4,2.39,IL1
IL1-P2_S76,IL,Wet,5.6,7.2,6,57,0.09,0.37,3.9,15,67,18,37.853558,-89.231378,13.4,2.39,IL1
IL1-P3_S77,IL,Wet,5.6,7.2,6,57,0.09,0.37,3.9,15,67,18,37.853558,-89.231378,13.4,2.39,IL1
IL1-P4_S78,IL,Wet,5.6,7.2,6,57,0.09,0.37,3.9,15,67,18,37.853558,-89.231378,13.4,2.39,IL1
IL1-P5_S79,IL,Wet,5.6,7.2,6,57,0.09,0.37,3.9,15,67,18,37.853558,-89.231378,13.4,2.39,IL1
IL1-P6_S80,IL,Wet,5.6,7.2,6,57,0.09,0.37,3.9,15,67,18,37.853558,-89.231378,13.4,2.39,IL1
IN1-P1_S23,IN,Wet,6.5,6.9,6,207,0.25,3.15,12.8,59,29,10,41.51889,-87.454068,11.5,1.77,IN1
IN1-P2_S5,IN,Wet,6.5,6.9,6,207,0.25,3.15,12.8,59,29,10,41.51889,-87.454068,11.5,1.77,IN1
IN1-P3_S24,IN,Wet,6.5,6.9,6,207,0.25,3.15,12.8,59,29,10,41.51889,-87.454068,11.5,1.77,IN1
IN1-P4_S6,IN,Wet,6.5,6.9,6,207,0.25,3.15,12.8,59,29,10,41.51889,-87.454068,11.5,1.77,IN1
IN1-P5_S25,IN,Wet,6.5,6.9,6,207,0.25,3.15,12.8,59,29,10,41.51889,-87.454068,11.5,1.77,IN1
IN1-P6_S26,IN,Wet,6.5,6.9,6,207,0.25,3.15,12.8,59,29,10,41.51889,-87.454068,11.5,1.77,IN1
KS1-P1_S103,KS1,Mesic,7.8,7.5,9,456,0.21,3.24,15.4,17,61,22,39.225169,-96.620143,12.8,1.64,KS1
KS1-P2_S104,KS1,Mesic,7.8,7.5,9,456,0.21,3.24,15.4,17,61,22,39.225169,-96.620143,12.8,1.64,KS1
KS1-P3_S105,KS1,Mesic,7.8,7.5,9,456,0.21,3.24,15.4,17,61,22,39.225169,-96.620143,12.8,1.64,KS1
KS1-P4_S106,KS1,Mesic,7.8,7.5,9,456,0.21,3.24,15.4,17,61,22,39.225169,-96.620143,12.8,1.64,KS1
KS1-P5_S107,KS1,Mesic,7.8,7.5,9,456,0.21,3.24,15.4,17,61,22,39.225169,-96.620143,12.8,1.64,KS1
KS1-P6_S108,KS1,Mesic,7.8,7.5,9,456,0.21,3.24,15.4,17,61,22,39.225169,-96.620143,12.8,1.64,KS1
KS2-P1_S121,KS2,Dry,7.7,7.5,9,223,0.11,0.5,4.7,43,40,17,38.743278,-99.77303,9.21,1.2,KS2
KS2-P2_S122,KS2,Dry,7.7,7.5,9,223,0.11,0.5,4.7,43,40,17,38.743278,-99.77303,9.21,1.2,KS2
