index,Ecotype,Location,Lat,Long,Sobs,Shannon,Faith
AL1-P1-S1-16s_S25,Wet,AL,32.904482,-88.318061,424,8.392635781,35.77695871
AL1-P2-S1-16s_S26,Wet,AL,32.904482,-88.318061,375,8.197103959,36.73783617
AL1-P3-S2-16s_S27,Wet,AL,32.904482,-88.318061,NA,NA,NA
AL1-P4-S1-16s_S28,Wet,AL,32.904482,-88.318061,348,8.08721429,32.81515834
AL1-P5-S1-16s_S29,Wet,AL,32.904482,-88.318061,NA,NA,NA
AL1-P6-S1-16s_S30,Wet,AL,32.904482,-88.318061,364,8.204551163,33.0990197
CO1-P1-S1-16s_S42,Dry,CO,39.97678,-105.19967,504,8.658370125,44.14693715
CO1-P2-S1-16s_S43,Dry,CO,39.97678,-105.19967,553,8.801019594,46.64313256
CO1-P3-S1-16s_S44,Dry,CO,39.97678,-105.19967,471,8.50375501,46.59009882
CO1-P4-S1-16s_S45,Dry,CO,39.97678,-105.19967,525,8.657935894,48.831242
CO1-P5-S1-16s_S46,Dry,CO,39.97678,-105.19967,412,8.325741353,37.31722761
CO1-P6-S1-16s_S47,Dry,CO,39.97678,-105.19967,535,8.736739979,44.92567762
IA1-P1-S1-16s_S1,Mesic,IA,41.564388,-93.25567,590,8.847218392,50.59057255
IA1-P2-S1-16s_S2,Mesic,IA,41.564388,-93.25567,596,8.869128619,49.26127263
IA1-P3-S1-16s_S3,Mesic,IA,41.564388,-93.25567,639,8.9638621,49.14976563
IA1-P4-S1-16s_S4,Mesic,IA,41.564388,-93.25567,559,8.778872976,45.99840704
IA1-P5-S1-16s_S5,Mesic,IA,41.564388,-93.25567,555,8.794344215,43.85367199
IA1-P6-S1-16s_S6,Mesic,IA,41.564388,-93.25567,550,8.773766636,47.29897049
IL1-P1-S1-16s_S78,Wet,IL,37.853558,-89.231378,384,8.180642158,42.15416875
IL1-P2-S1-16s_S79,Wet,IL,37.853558,-89.231378,383,8.15966239,42.58515861
IL1-P3-S1-16s_S80,Wet,IL,37.853558,-89.231378,631,8.933976677,58.14357264
IL1-P4-S1-16s_S81,Wet,IL,37.853558,-89.231378,592,8.851714989,56.14806432
IL1-P5-S1-16s_S82,Wet,IL,37.853558,-89.231378,572,8.731539503,60.25430752
IL1-P6-S1-16s_S83,Wet,IL,37.853558,-89.231378,451,8.376347821,45.56979197
IN1-P1-S1-16s_S19,Wet,IN,41.51889,-87.454068,646,8.951502112,62.86851548
IN1-P2-S1-16s_S20,Wet,IN,41.51889,-87.454068,550,8.781101871,49.46020012
IN1-P3-S1-16s_S21,Wet,IN,41.51889,-87.454068,623,8.933737721,52.2287449
IN1-P4-S1-16s_S22,Wet,IN,41.51889,-87.454068,570,8.817799021,50.64366713
IN1-P5-S1-16s_S23,Wet,IN,41.51889,-87.454068,536,8.699349106,50.60504857
IN1-P6-S1-16s_S24,Wet,IN,41.51889,-87.454068,476,8.549749411,44.8608503
KS1-P1-S1-16s_S109,Mesic,KS1,39.225169,-96.620143,384,8.203167458,37.52661777
KS1-P2-S1-16s_S110,Mesic,KS1,39.225169,-96.620143,NA,NA,NA
KS1-P3-S1-16s_S111,Mesic,KS1,39.225169,-96.620143,NA,NA,NA
KS1-P4-S1-16s_S112,Mesic,KS1,39.225169,-96.620143,516,8.661711215,43.67084849
