SampleID,Ecotype,Location,Lat,Long,Faith,Shannon ,Sobs
AL1-P1_S27,Wet,AL,32.904482,-88.318061,44.40756941,8.139428927,384
AL1-P2_S28,Wet,AL,32.904482,-88.318061,48.32963137,8.683127611,534
AL1-P4_S30,Wet,AL,32.904482,-88.318061,56.64454126,8.668338643,549
AL1-P5_S31,Wet,AL,32.904482,-88.318061,45.99476229,8.571216762,505
AL1-P6_S32,Wet,AL,32.904482,-88.318061,41.03561148,8.520310707,484
CO1-P1_S42,Dry,CO,39.97678,-105.19967,74.16922284,9.524289639,960
CO1-P2_S43,Dry,CO,39.97678,-105.19967,84.37717082,9.635534315,1051
CO1-P3_S44,Dry,CO,39.97678,-105.19967,81.02406835,9.469321576,934
CO1-P4_S45,Dry,CO,39.97678,-105.19967,81.5593814,9.389297344,902
CO1-P5_S46,Dry,CO,39.97678,-105.19967,52.13426525,8.728265949,567
CO1-P6_S47,Dry,CO,39.97678,-105.19967,76.85888837,9.436173096,928
IA1-P1_S1,Wet,IA,41.564388,-93.25567,93.71575414,9.807174921,1166
IA1-P2_S9,Wet,IA,41.564388,-93.25567,56.04920559,8.551252438,509
IA1-P3_S10,Wet,IA,41.564388,-93.25567,53.06562934,8.568758486,520
IA1-P4_S11,Wet,IA,41.564388,-93.25567,56.09719749,8.645976252,541
IA1-P5_S12,Wet,IA,41.564388,-93.25567,53.89818962,8.483933161,491
IA1-P6_S13,Wet,IA,41.564388,-93.25567,48.88845117,8.331185368,435
IL1-P1_S75,Wet,IL,37.853558,-89.231378,79.26096617,9.491594273,955
IL1-P2_S76,Wet,IL,37.853558,-89.231378,75.23141491,9.107470413,770
IL1-P3_S77,Wet,IL,37.853558,-89.231378,75.39577858,9.259764386,819
IL1-P4_S78,Wet,IL,37.853558,-89.231378,76.00998585,9.13973491,795
IL1-P5_S79,Wet,IL,37.853558,-89.231378,71.03081092,8.623670018,690
IL1-P6_S80,Wet,IL,37.853558,-89.231378,56.85292522,8.36105539,466
IN1-P1_S23,Wet,IN,41.51889,-87.454068,97.17723212,9.566338492,1016
IN1-P2_S5,Wet,IN,41.51889,-87.454068,78.73955649,9.28081008,859
IN1-P3_S24,Wet,IN,41.51889,-87.454068,79.27199397,9.290663275,850
IN1-P4_S6,Wet,IN,41.51889,-87.454068,96.39851365,9.748792698,1199
IN1-P5_S25,Wet,IN,41.51889,-87.454068,70.91637985,8.997786207,699
IN1-P6_S26,Wet,IN,41.51889,-87.454068,62.13701248,8.796421617,597
KS1-P1_S103,Mesic,KS1,39.225169,-96.620143,80.23219181,9.298230159,850
KS1-P2_S104,Mesic,KS1,39.225169,-96.620143,70.0609083,9.125583766,754
KS1-P3_S105,Mesic,KS1,39.225169,-96.620143,57.68166683,8.891549013,623
KS1-P4_S106,Mesic,KS1,39.225169,-96.620143,61.77010347,8.642572153,544
KS1-P5_S107,Mesic,KS1,39.225169,-96.620143,63.06472366,8.824669759,611
KS1-P6_S108,Mesic,KS1,39.225169,-96.620143,55.2907485,8.393383109,474
KS2-P1_S121,Dry,KS2,38.743278,-99.77303,69.80260701,8.726931171,644
KS2-P2_S122,Dry,KS2,38.743278,-99.77303,59.49988823,8.696222857,582
KS2-P3_S123,Dry,KS2,38.743278,-99.77303,66.53784466,8.733345633,615
KS2-P4_S124,Dry,KS2,38.743278,-99.77303,67.87958511,8.779709892,624
KS2-P5_S125,Dry,KS2,38.743278,-99.77303,59.49362735,8.524517395,513
KS2-P6_S126,Dry,KS2,38.743278,-99.77303,50.93195153,8.392808909,454
LA1-P1_S54,Wet,LA,32.605491,-92.05068,67.81171779,8.969707179,685
LA1-P2_S55,Wet,LA,32.605491,-92.05068,67.09829479,8.999242046,708
LA1-P6_S56,Wet,LA,32.605491,-92.05068,61.17272141,8.71020202,619
MI1-P1_S14,Wet,MI,42.17216,-85.766226,67.13630732,8.416084845,518
MI1-P2_S15,Wet,MI,42.17216,-85.766226,66.23261758,8.618480556,561
MI1-P3_S16,Wet,MI,42.17216,-85.766226,50.60904369,8.293072963,431
MI1-P4_S17,Wet,MI,42.17216,-85.766226,97.44462998,9.462233287,974
MI1-P5_S2,Wet,MI,42.17216,-85.766226,98.20989961,9.272028037,898
MI1-P6_S18,Wet,MI,42.17216,-85.766226,96.31494659,9.254547109,913
MN1-P1_S145,Dry,MN,47.10987,-96.144878,74.05238524,9.12905338,770
MN1-P2_S146,Dry,MN,47.10987,-96.144878,77.68870606,9.200491922,815
