"","AL1-P1_S27","AL1-P2_S28","AL1-P4_S30","AL1-P5_S31","AL1-P6_S32","CO1-P1_S42","CO1-P2_S43","CO1-P3_S44","CO1-P4_S45","CO1-P5_S46","CO1-P6_S47","IA1-P1_S1","IA1-P2_S9","IA1-P3_S10","IA1-P4_S11","IA1-P5_S12","IA1-P6_S13","IL1-P1_S75","IL1-P2_S76","IL1-P3_S77","IL1-P4_S78","IL1-P5_S79","IL1-P6_S80","IN1-P1_S23","IN1-P2_S5","IN1-P3_S24","IN1-P4_S6","IN1-P5_S25","IN1-P6_S26","KS1-P1_S103","KS1-P2_S104","KS1-P3_S105","KS1-P4_S106","KS1-P5_S107","KS1-P6_S108","KS2-P1_S121","KS2-P2_S122","KS2-P3_S123","KS2-P4_S124","KS2-P5_S125","KS2-P6_S126","LA1-P1_S54","LA1-P2_S55","LA1-P6_S56","MI1-P1_S14","MI1-P2_S15","MI1-P3_S16","MI1-P4_S17","MI1-P5_S2","MI1-P6_S18","MN1-P1_S145","MN1-P2_S146","MN1-P3_S147","MN1-P4_S148","MN1-P5_S149","MN1-P6_S150","MO1-P1_S87","MO1-P2_S88","MO1-P3_S89","MO1-P4_S90","MO1-P5_S7","MO1-P6_S91","MS1-P1_S33","MS1-P2_S34","MS1-P3_S35","MS1-P4_S36","MS1-P5_S37","MS1-P6_S38","MT1-P1_S133","MT1-P2_S134","MT1-P3_S135","MT1-P4_S136","MT1-P5_S137","MT1-P6_S138","NC1-P1_S63","NC1-P2_S64","NC1-P3_S65","NC1-P4_S66","NC1-P5_S67","NC1-P6_S68","ND1-P1_S139","ND1-P2_S140","ND1-P3_S141","ND1-P4_S142","ND1-P5_S143","ND1-P6_S144","NE1-P1_S109","NE1-P2_S110","NE1-P5_S113","NE1-P6_S114","NE2-P1_S127","NE2-P2_S128","NE2-P3_S129","NE2-P4_S130","NE2-P5_S131","NE2-P6_S132","NM1-P2_S39","NM1-P3_S40","NM1-P6_S41","OK1-P1_S48","OK1-P2_S49","OK1-P3_S50","OK1-P4_S51","OK1-P5_S52","OK1-P6_S53","SC1-P1_S92","SC1-P2_S93","SC1-P3_S94","SC1-P4_S95","SC1-P5_S96","SC1-P6_S97","SD1-P1_S115","SD1-P2_S116","SD1-P3_S117","SD1-P4_S118","SD1-P5_S119","SD1-P6_S120","TX1-P1_S57","TX1-P2_S58","TX1-P3_S59","TX1-P4_S60","TX1-P5_S61","TX1-P6_S62","TX2-P1_S69","TX2-P2_S70","TX2-P3_S71","TX2-P4_S72","TX2-P5_S73","TX2-P6_S74","TX3-P1_S81","TX3-P2_S82","TX3-P3_S83","TX3-P4_S84","TX3-P5_S85","TX3-P6_S86","WI1-P2_S20","WI1-P3_S3","WI1-P4_S4","WI1-P5_S21","WI1-P6_S22"
"AL1-P1_S27",0,0.513611791229304,0.381900386494567,0.410387301587302,0.446846029826683,0.699521765038427,0.713180080158474,0.695094905746527,0.703698747009719,0.698102808691044,0.706740257031463,0.644629852223715,0.442991561295193,0.457437000614628,0.50059034843118,0.634921521532704,0.479180396620933,0.566883044386673,0.50976213130352,0.554147507150874,0.521654061782744,0.512081028311097,0.509352442172928,0.62876025161239,0.497782132359491,0.537465679946179,0.618936584518834,0.497882239339873,0.471234556257663,0.620005118268563,0.539274691358025,0.535743577239377,0.467539765924695,0.516848257450032,0.476105219666713,0.65862676056338,0.669062428011979,0.64527066526365,0.68090926240332,0.665472539367542,0.663567466208298,0.479590742369319,0.517491891891892,0.50894316223053,0.588590986879635,0.583279290964116,0.474491912069681,0.570103347324609,0.511052582071301,0.561377594651326,0.664393187830688,0.681547501676066,0.685323093631216,0.676466310693732,0.673195897478059,0.665143121932725,0.509322865554465,0.503339664113015,0.495510963265014,0.500212659010942,0.477424248472993,0.501369143628793,0.515278586682198,0.542597589145331,0.511544284632854,0.495069867568762,0.469441582526272,0.512514466343081,0.661423585030707,0.619349582755356,0.641367769777836,0.617918881386774,0.684270873145478,0.623098497371794,0.515953462825186,0.463793245809595,0.532627565782755,0.632076030668231,0.552759267645727,0.500925611092221,0.700436767265443,0.687322753876788,0.657806486462155,0.762153786558203,0.714495655528409,0.701660042085574,0.517355292765835,0.50493041648711,0.470722826843875,0.500168741190717,0.628573406243511,0.652786267941414,0.627581627006087,0.706051413060834,0.68775092175338,0.659621948017852,0.683622851494573,0.64916882014888,0.675577753322611,0.683751190098381,0.677231358773751,0.676651190654486,0.645244122965642,0.631688701672436,0.636195306524977,0.599069664414664,0.499895681201753,0.522408380923566,0.63152036233831,0.539402528624175,0.537093212819084,0.635911539765663,0.629760225669958,0.627463982156851,0.604095953624957,0.63638152199575,0.591342597999144,0.480253682694494,0.508441087462171,0.495221524573215,0.513444736618882,0.521268550902732,0.527226611006896,0.510787574012491,0.464456909739929,0.568108278017122,0.435003507578495,0.523768736616702,0.46670432081333,0.618171228887595,0.662833905910397,0.641809412278438,0.602498794625076,0.626036899313501,0.636100753367324,0.507570172951517,0.493071946241635,0.586882984662879,0.523102659257408,0.489224768405656
"AL1-P2_S28",0.513611791229304,0,0.40248614144129,0.359834278238116,0.344535631536779,0.760391469958573,0.782811496243332,0.772095149611408,0.769038061030455,0.798620946701454,0.782566994128931,0.731891191709845,0.622223242151643,0.66266224496519,0.686425300267865,0.788465630985316,0.714149547244588,0.559782608695652,0.536139578216312,0.528927628274711,0.502238468116501,0.572529782761037,0.629817969083995,0.673210161662818,0.495336953050144,0.571809635340425,0.599458168794196,0.502535925612849,0.453340695748205,0.758232419800297,0.715387912558937,0.71665568432885,0.696152872690458,0.705963130955849,0.695956999298902,0.77648531535869,0.781220563182684,0.776081218274112,0.806679892827194,0.797067526387846,0.792968227797335,0.508793733288141,0.392282165544705,0.519626241301118,0.663449271873872,0.617455682523624,0.555456149506698,0.637552028107047,0.592074925013773,0.612026856758203,0.761067269314185,0.774926135072291,0.79038398594291,0.785337629998535,0.766186658928507,0.759979244653645,0.581230956733699,0.532186105799873,0.520793602461578,0.497277146930992,0.484968983616987,0.490995435011622,0.562824381412191,0.421399262094411,0.508942267172356,0.442610062893082,0.457384349722803,0.59026375469881,0.775656509052965,0.755192478131864,0.773843011829987,0.764647364821454,0.787312442425094,0.74799416484318,0.598401340810933,0.605306179644075,0.514768773279787,0.632317985738181,0.617583768828773,0.581845413392121,0.788861353079971,0.807522596256494,0.800730615130804,0.806238653243109,0.79347362200847,0.808472729159819,0.673884664000497,0.719554142900684,0.621541606456843,0.646276689296141,0.776983903985871,0.807141952640243,0.746496322106078,0.813956776051883,0.808661061386855,0.797635698273715,0.781988350022907,0.758446322357257,0.765675057208238,0.775047890195251,0.782996695470851,0.756999048429909,0.730355264222708,0.751244512206323,0.762226059710527,0.561120361364348,0.540237066985206,0.598126905519902,0.503916983837108,0.458501771722314,0.418498835177635,0.756626546473955,0.742964907096797,0.728578539429709,0.744701070816434,0.736848533491529,0.712735253961945,0.548000521036863,0.54385813893432,0.512808287460448,0.55600688139157,0.601565541689719,0.585103983398746,0.627605240049461,0.611289793239252,0.678840311715758,0.516646115906289,0.641138328530259,0.601040268456376,0.729149064574532,0.750822355477911,0.744944254915063,0.741861666789695,0.726758622899345,0.770495690020153,0.528910591008587,0.642524354087251,0.592389771900925,0.485365520071121,0.546295013850416
"AL1-P4_S30",0.381900386494567,0.40248614144129,0,0.269913438838856,0.372028913152011,0.649494583832252,0.688365457241167,0.66955699661728,0.654845049130763,0.65440352580862,0.691411935953421,0.6333800332088,0.460933186085036,0.48323462715484,0.529146816803811,0.616823537779464,0.573437303483838,0.515722724113968,0.450842625120921,0.492687994027041,0.460715305659617,0.482256351164005,0.479235749249961,0.629626416840157,0.459461188967812,0.513051979794688,0.557034482758621,0.478090103966115,0.460858870554474,0.592134776273351,0.538110044148214,0.534863846482539,0.514587737843552,0.55007299270073,0.518065513847884,0.645880377511435,0.665227085551293,0.652773820668322,0.674053422439064,0.665648381812547,0.662765244583426,0.437634449182926,0.415388708359463,0.457683567118564,0.596553471870248,0.60111569581153,0.513594337976923,0.556052318668252,0.497801501114588,0.542066580198876,0.661011377540771,0.668505964580377,0.687039370350553,0.677564949361515,0.661723548867808,0.661987000928505,0.453831795265426,0.44482849306834,0.446240788607575,0.434344825212138,0.427175010182217,0.420348126183177,0.477221291225403,0.428191397477975,0.424856028237043,0.435924657534247,0.436897801577327,0.502069523542775,0.652162125525281,0.605213361652829,0.624483491021433,0.630819086395646,0.666755298349887,0.629808011692021,0.479225450707562,0.524001311291153,0.479693521888003,0.561348611723226,0.547895192152608,0.490145167001062,0.704080267558528,0.686372388219354,0.668097000236202,0.744860466594622,0.693734583127775,0.694992807251677,0.515151515151515,0.54903758020165,0.491612812091676,0.520283367990695,0.633141569779137,0.659488047387349,0.645961046015364,0.691626679887388,0.668617397133695,0.653309268255218,0.652678512884401,0.642468270733509,0.644273969253339,0.670710877106482,0.652141579758132,0.661710348057335,0.635496894913495,0.624312036372338,0.637203660429191,0.542339009364626,0.441835626024345,0.487806936123534,0.548419090613725,0.466157769296155,0.478552669973738,0.634302628702131,0.614182964420682,0.609333808336302,0.583337583949673,0.597384661107323,0.559661304566155,0.44139281828074,0.466217965311934,0.443927873126222,0.467321514135122,0.493520096941814,0.484148161548551,0.549677674226508,0.505581997236418,0.560209077676327,0.429363088328903,0.544650591972278,0.501647391070468,0.635678869443533,0.67265273945605,0.640272051309159,0.632998002810859,0.628528783963793,0.656446714288138,0.500388002294274,0.523946586136932,0.547918122222057,0.500650907845152,0.479426866500139
"AL1-P5_S31",0.410387301587302,0.359834278238116,0.269913438838856,0,0.261031486288229,0.729452739158983,0.765179979922558,0.762637829311574,0.754636101015749,0.745017766105361,0.767270228277758,0.675428814189369,0.522446043165468,0.536523352497881,0.581862391930836,0.697092663614994,0.573425284935906,0.521007903963868,0.513707377665809,0.489732150316641,0.464189879334522,0.511612771259088,0.532031855662837,0.665390777995371,0.499637824311866,0.563869409119887,0.611994931718992,0.50374681122449,0.487845856106846,0.692320660878361,0.612393487927156,0.599814971240095,0.573128952916374,0.620707573723639,0.570073813364618,0.734260424783712,0.723359503529853,0.733862456199603,0.739966395133675,0.74227136604469,0.735990326931126,0.467226234628148,0.412768634853222,0.492694805194805,0.613300057979783,0.585794266765985,0.53491645596017,0.619448386097112,0.510449154520188,0.600970371559551,0.735776423301191,0.735733781609819,0.757855197336799,0.738376943496397,0.726258871240284,0.727911530929616,0.482856062924099,0.434039246162813,0.461427886919023,0.414431525694506,0.412908768530535,0.441400383240976,0.548316969297386,0.45041513736949,0.502584901390799,0.457977258280952,0.485011008863547,0.585901251159963,0.755749373433584,0.732139287570463,0.728461200175909,0.714544474393531,0.777356001994499,0.734841226389269,0.528423975102434,0.525328513506912,0.474330445212506,0.605645197536968,0.564158526122492,0.528802544007507,0.777747248553678,0.762995140627301,0.750040783034258,0.788583839461055,0.76787589337127,0.757352546797061,0.618480908953711,0.609196967633574,0.556588299617277,0.595031101087629,0.729509906152242,0.744121654287347,0.700224971878515,0.756584358379179,0.747852289954893,0.759922093924519,0.755806887238352,0.748897508102651,0.746552753086032,0.756401635620173,0.749419699157421,0.744592847910383,0.714934317047522,0.710518806004223,0.740528593793167,0.581613731861252,0.492643560022079,0.567480127324277,0.53500837520938,0.505245986090839,0.485452626818422,0.729785943322645,0.72380832599673,0.698359570398705,0.691328811063785,0.690279055504446,0.659563827317056,0.471597338523514,0.489504843918192,0.425202186779921,0.486091654992996,0.573063399041023,0.512694898487917,0.552378303198887,0.543498596819457,0.608328221904178,0.419090029041626,0.562635150249795,0.538043101656157,0.678112582191415,0.72150954412027,0.710238225131842,0.702095121578223,0.699397142621191,0.73204134818883,0.540459714156553,0.560090591305204,0.581266124230998,0.523632895294616,0.517536325245151
"AL1-P6_S32",0.446846029826683,0.344535631536779,0.372028913152011,0.261031486288229,0,0.791017206837267,0.804171246663145,0.798834787333595,0.798074396896781,0.797409077823625,0.811618121533818,0.720827549738912,0.583827134052022,0.610214198008095,0.612311956546036,0.769442262372349,0.624660680726665,0.573703588697157,0.575678496868476,0.559500066480521,0.526719922870326,0.578616584716625,0.608888267114344,0.680649686231082,0.543208056988455,0.609725165618169,0.646411164486833,0.550349525714399,0.517299649359976,0.729727010530552,0.667570900123305,0.651459744619627,0.638833765837277,0.683273485711828,0.644913301806718,0.78117927337701,0.777079023582954,0.773645036167313,0.791879673834974,0.795568361116828,0.780644863480047,0.522880254505247,0.459085580304807,0.555976694018266,0.645911477869467,0.622013448423864,0.550718643366767,0.643302180685358,0.571374383613605,0.630733212727466,0.778332145402708,0.784235497088635,0.788720926116048,0.78918603117167,0.764962768042103,0.767473810750472,0.539692197566213,0.476974763955127,0.515054894484255,0.476666195989833,0.451370211528676,0.491828045598132,0.610524450744153,0.494995305330664,0.584386359702268,0.482592130905771,0.526636737747849,0.633955716855292,0.780540282094191,0.767414145827954,0.769162015611655,0.763491519616241,0.808999551942649,0.771614286443533,0.551084830161835,0.555776361389138,0.516833113497896,0.616243268358767,0.568141645945055,0.547798437824013,0.803773240977032,0.809987373968417,0.799153177609854,0.825804279127597,0.803493523337881,0.806342660077506,0.66551044878383,0.651727168255256,0.598666449239912,0.628410755293564,0.778293385262373,0.799332271368407,0.748009180720487,0.805792782643457,0.806362790697674,0.795845017575734,0.78210574033344,0.7708157227388,0.767481834518322,0.789614425613414,0.790347785005633,0.783601275151681,0.743715756267641,0.750661825883065,0.777830672330453,0.61995804006497,0.50783200908059,0.612018266103923,0.561119293078056,0.560250017077669,0.515780404203113,0.779474627688913,0.768802029368681,0.75413642430115,0.733912012828557,0.736862871695541,0.713788449243447,0.553912867638798,0.568098323425289,0.503980981003431,0.554209990818175,0.640223510985057,0.60274901236588,0.575784389632415,0.561041902604757,0.642316099842408,0.441342287044698,0.569091077550264,0.557619088638126,0.712260807937633,0.755864605853312,0.749272296649853,0.738339064845249,0.731409982584694,0.770654329147389,0.590732255554595,0.616051583909337,0.609953211399405,0.550766636809105,0.578151410016902
"CO1-P1_S42",0.699521765038427,0.760391469958573,0.649494583832252,0.729452739158983,0.791017206837267,0,0.292388626779675,0.321008184159901,0.323303117399956,0.350175961365563,0.272142780346199,0.410225053748595,0.592085460501077,0.554946867246992,0.515874592140729,0.519830347877092,0.649512214157496,0.487010344606027,0.521583987120493,0.547933566881205,0.571287140522681,0.537112872725451,0.630191867834093,0.556344808404116,0.526572830519017,0.47140522875817,0.481771628784476,0.570150819672131,0.640084821123196,0.442551148274368,0.390448723386208,0.450234840888701,0.492528976399944,0.461638527539441,0.568400310503374,0.432602498587812,0.445912569338534,0.491068511055441,0.494985702754101,0.529445627770422,0.538998262883613,0.562661699265239,0.665709123523066,0.603046951721209,0.740352585066091,0.751192920772333,0.737883514130081,0.572970189391772,0.62651112598522,0.603189870335423,0.49055864014064,0.489686352076858,0.511836297980473,0.516304209911945,0.493773318543914,0.528326509723644,0.475089730868644,0.586402558547405,0.498088848343476,0.591258236357679,0.581931394758669,0.547053011273675,0.505164673390678,0.636715328467153,0.553703770218982,0.602901704751541,0.644730031686718,0.540214053468208,0.537558098197475,0.479001314060447,0.469198423127464,0.50006211265856,0.460637996487053,0.43830008755117,0.701005131684974,0.684702160678047,0.595312901819158,0.481932736595116,0.572721081817297,0.518541993040026,0.441677130534476,0.500783562597945,0.446281651889129,0.427824989073957,0.43312969924812,0.47402051044423,0.487502932773921,0.502766212285405,0.465259932793042,0.423855112514805,0.454150005403653,0.516848281642917,0.47799836536687,0.400918464604454,0.376249952831969,0.491694047728136,0.464284877042455,0.481565843197596,0.501626777198378,0.535801921108768,0.506059143178977,0.467936598532682,0.481920844818162,0.465340742907283,0.511528076746009,0.619571750120791,0.659267551168382,0.519607491174535,0.740472768121369,0.578241943327521,0.691693411842006,0.385452852487197,0.430179491257907,0.374369173399627,0.394839097744361,0.395173657543154,0.374709057895955,0.65886706518645,0.664845894772592,0.693090702303099,0.706888720666162,0.597035575829806,0.670956633397537,0.559719496493706,0.707795087478363,0.502866715428356,0.604420770933045,0.641661858049625,0.561636315902527,0.483021668511917,0.403909500199464,0.420679956577519,0.475263439899982,0.458225100728478,0.441060939132942,0.491386323395703,0.625404821878374,0.639706926109127,0.611246825492804,0.497937968227629
"CO1-P2_S43",0.713180080158474,0.782811496243332,0.688365457241167,0.765179979922558,0.804171246663145,0.292388626779675,0,0.323836429280424,0.341920738472463,0.429330581710306,0.299993526251052,0.375620856831899,0.586098508436379,0.561114072878694,0.523787805364727,0.517389398588292,0.636820057423475,0.534571324177359,0.552692841203787,0.578119706050728,0.592570860625801,0.556782314550507,0.620657854288349,0.504626945786366,0.539160596600763,0.445988377542413,0.48496152529239,0.572192513368984,0.630959088597853,0.41204547324861,0.413613966786301,0.470027031324535,0.491512583822003,0.443947061113274,0.558655865586559,0.434237086879082,0.470263675184708,0.465891684901532,0.462996303066119,0.513939499103476,0.550383988829416,0.575971731448763,0.671196397102017,0.619251992642551,0.73599327371398,0.749179816813384,0.733266780015286,0.564262494687389,0.629440579590829,0.589717261359052,0.43329226939636,0.41876672957604,0.454046069898314,0.495961063119537,0.474407654921021,0.467160037002775,0.512994280794539,0.616763365105678,0.535893542292133,0.593109245745057,0.618609623009708,0.574342978021584,0.488377206376351,0.643760992769201,0.570214556163231,0.599815493675803,0.661684730937441,0.530958208684616,0.519313418230386,0.467666156363828,0.443567544739482,0.492075817029714,0.436309246220867,0.413663681497494,0.722194605803235,0.653640834932822,0.638622361377639,0.488591797249481,0.569031166267099,0.492682458309822,0.367215665647567,0.437370432350076,0.420907656513251,0.390979861063749,0.400250023587131,0.436868717785477,0.465707274466581,0.501948312417626,0.445916443385928,0.404890496482014,0.440403821102909,0.489249424577556,0.463921620548127,0.424303061186443,0.397132933375434,0.46867728067523,0.504506624620526,0.487258086097629,0.515007828226348,0.5004147528197,0.468449769447793,0.451480822719079,0.478699433775028,0.506084868916727,0.503629389937657,0.60198275148174,0.689825637095229,0.515335728101686,0.722268708844181,0.583953513294674,0.692009033927982,0.406023417744274,0.467390636708721,0.388108135093982,0.428650796526444,0.446928544153333,0.420405466580206,0.658897214436882,0.673945804543774,0.706421756270354,0.711207814734792,0.609307701834294,0.69139639903818,0.559940254295791,0.728724398131513,0.557308320898174,0.635769290402605,0.648897846076332,0.583491074637594,0.49145544493984,0.399956525221092,0.404181529924693,0.474083373901458,0.443835394189429,0.447219575730532,0.506653855392746,0.626386210221794,0.668679385883204,0.611471309584517,0.519833394585324
"CO1-P3_S44",0.695094905746527,0.772095149611408,0.66955699661728,0.762637829311574,0.798834787333595,0.321008184159901,0.323836429280424,0,0.241072566166676,0.398071419852712,0.339911121111549,0.466511776135207,0.597040016339613,0.583391762948511,0.523724854968734,0.518857032903598,0.641808475141808,0.574823263161433,0.564797492036204,0.611545796860482,0.613257727820153,0.559860549877189,0.629053258106516,0.563014112564771,0.543395450642739,0.501612408803875,0.493660493539208,0.613837088388215,0.631636943598666,0.403204370939161,0.441261256664711,0.478785003697451,0.503297028969401,0.469905334996698,0.568299317563591,0.367315758771077,0.48530756917448,0.491885809904361,0.483281617028681,0.517312076378158,0.551843584019706,0.58848850079941,0.681381166904736,0.621642870179281,0.748385212113344,0.761444797533273,0.707421408674891,0.516358395387941,0.642569699777077,0.571798487373414,0.423660964479197,0.491898747282327,0.481912905455569,0.512270883262596,0.510497134727633,0.531491861957182,0.533828766062858,0.643225867963334,0.54983509554758,0.634152572684073,0.623538927155082,0.575567129050027,0.489291386995952,0.637912263848863,0.550845109448601,0.622701533371509,0.646281696143192,0.509798581425916,0.4375139229227,0.391788815560959,0.424022229940952,0.436801124055969,0.349976224441274,0.355199820888839,0.68197922296283,0.696967769633175,0.644879969992498,0.510189733651809,0.602063675242685,0.528429103351112,0.418728561628173,0.487761710607391,0.437941089464565,0.46671388101983,0.441150688314093,0.467758917336483,0.498331674764386,0.535715908918751,0.480310860594384,0.442591413084452,0.443024935979056,0.48552368245497,0.495267171315852,0.506483003313245,0.419167396322534,0.431516895912324,0.445417482663908,0.408814977299393,0.415437440874531,0.460986826720711,0.448879497012862,0.452522069672644,0.436121087737301,0.478124328967146,0.432873406431982,0.579844423524749,0.643808398668242,0.472683786505539,0.720710871554968,0.59031727027836,0.685377980990975,0.447189995479885,0.458675875576631,0.410678021618081,0.44453164556962,0.466311735972915,0.438641962636009,0.667347093067211,0.680016831727807,0.707588914898437,0.716624949535729,0.572233353660307,0.695157358672194,0.565463795239476,0.673872723402961,0.54502052305899,0.619342654112148,0.63798235286336,0.529451633552144,0.47453502075114,0.455902404018658,0.415069080700295,0.440810115673099,0.405023395640895,0.432572483000935,0.52022954079257,0.638330856147417,0.623490669593853,0.600763698848088,0.52824637364614
"CO1-P4_S45",0.703698747009719,0.769038061030455,0.654845049130763,0.754636101015749,0.798074396896781,0.323303117399956,0.341920738472463,0.241072566166676,0,0.397667137672125,0.357461815017518,0.482209640014207,0.615052655309008,0.600586958897267,0.521737788885803,0.5334528174688,0.656705427020362,0.565203511572227,0.553976869818594,0.605602562025695,0.615070683809889,0.558068995268203,0.65875271959218,0.558481197184703,0.545313385749144,0.505574442555744,0.492796152899525,0.593386040975941,0.63591059430758,0.410263808221584,0.437795214115626,0.478866008784439,0.49755831235403,0.467201297531087,0.566866723204384,0.394188868859207,0.487262682509756,0.500885269121813,0.497678695916581,0.517081426690905,0.564976028261418,0.589178020996203,0.677691865115561,0.615969690881433,0.74636679928751,0.752527451264935,0.70063813494427,0.525632396313928,0.646968238691049,0.590782469952788,0.432413652156141,0.460864971937933,0.48615083251714,0.512263815591589,0.505620112945265,0.512029577309348,0.526862468898514,0.63679875333927,0.546765523632993,0.641685236587305,0.6224686788534,0.565856834633405,0.504083846264424,0.639164750156805,0.561213086537103,0.608297203977258,0.647081219999728,0.527405191546849,0.45105795637264,0.410206168001363,0.448912364400523,0.452925408449017,0.350853184454967,0.363652504755866,0.69101667563206,0.703182055294731,0.648015280845222,0.50861990164354,0.593846082981149,0.529538544432898,0.423439991619429,0.477157767964673,0.438293827942744,0.486807889570678,0.451918235827208,0.488491517652453,0.508422549973797,0.542134657151722,0.495031352959932,0.455481269234851,0.443673923220974,0.512684347878861,0.508904909811073,0.487212940158424,0.412171039265349,0.431892419293259,0.465683935611863,0.432043192610421,0.441219848708312,0.467087382502287,0.463782200625707,0.439657260892295,0.460920670891908,0.484273281710409,0.461022531025342,0.568403106648987,0.65879272288562,0.488323726137137,0.703515437581856,0.594542009486628,0.686130393357833,0.434267641522722,0.457368621727869,0.413116157158523,0.439040450337624,0.45956565882989,0.431200827344251,0.68616461262154,0.694094839523648,0.731768417146038,0.723309814833217,0.573811398101802,0.707413299395482,0.561047802279118,0.659572480577914,0.542063873365868,0.607949814023205,0.616265564649002,0.547320994291273,0.497419009160884,0.461462534881737,0.427923387096774,0.463624611491597,0.416111776841637,0.421050596197229,0.512449304379075,0.647876245411641,0.628560453503125,0.619439611519385,0.522428754948483
"CO1-P5_S46",0.698102808691044,0.798620946701454,0.65440352580862,0.745017766105361,0.797409077823625,0.350175961365563,0.429330581710306,0.398071419852712,0.397667137672125,0,0.324047313209163,0.509287329772388,0.551717171717172,0.505800960024875,0.480695572238394,0.483106916934564,0.605424646764648,0.555946104276508,0.558182853800089,0.570180495809127,0.594161341000259,0.531513389739676,0.60636924970715,0.601218020318068,0.562645891690009,0.529389075156514,0.595962853089127,0.58127501034911,0.646923624158625,0.452253594576473,0.387788136780339,0.409130419665519,0.449302534873256,0.442966695069092,0.539639528677588,0.403758059776314,0.417295186226912,0.493094573531011,0.430176769980116,0.50497949619215,0.487344014486478,0.567508046755887,0.703608994357217,0.593517869656622,0.734605742695233,0.744905599287695,0.727400732188116,0.616095845813257,0.623978300839204,0.644477850331188,0.512575460990575,0.513743009679515,0.538492801650696,0.517707300958044,0.504503619272215,0.551113782854089,0.49910825612778,0.585861312637085,0.551102849699223,0.622171980977625,0.610859583726623,0.570922147671429,0.545768863718143,0.669054844664143,0.603273613388711,0.658544912781675,0.675413118036069,0.604307132087281,0.507169484178587,0.416041227129665,0.444090893369764,0.447900323027227,0.482471309542525,0.445568168095641,0.719802527495568,0.678593410200648,0.646052021415623,0.570726063060457,0.628271616579334,0.566223392045542,0.529565822318615,0.503347926860675,0.410063335679099,0.52500265671677,0.45705053406337,0.477852917640783,0.435062658029271,0.455705966292568,0.437210786660284,0.458284221592176,0.424035874439462,0.462386973323828,0.496839399833287,0.439060675379521,0.366346012510412,0.463323984376344,0.44131861575179,0.473507305914757,0.520105213084478,0.548109828889773,0.518116231823781,0.47998480820357,0.518734584767165,0.462717227440651,0.530590224655769,0.688689305077873,0.696846152571305,0.564564794535235,0.775339068433698,0.624986749451049,0.75579943484261,0.416230246583709,0.454685850260807,0.384424858466289,0.393286148247521,0.375966601831206,0.358928935363005,0.642865386834917,0.655825316842266,0.698574885721968,0.696123576691226,0.598830516217451,0.666003422340722,0.581692993114621,0.725696798311027,0.526770137760934,0.600437342304458,0.659201874877938,0.599352908857823,0.538791282717189,0.465052331524165,0.439210065297022,0.480469789725845,0.500417001975273,0.457097563603343,0.526992681507793,0.56176944364132,0.678639147693945,0.67532911077993,0.524652974059418
