SampleID,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Cyanobacteria,d__Bacteria;__,d__Bacteria;p__Myxococcota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Acidobacteriota,d__Archaea;p__Crenarchaeota,d__Archaea;p__Nanoarchaeota,d__Archaea;p__Euryarchaeota,d__Archaea;p__Halobacterota,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Latescibacterota,d__Bacteria;p__Spirochaetota,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__WS1,d__Bacteria;p__MBNT15,d__Bacteria;p__Gemmatimonadota,d__Bacteria;p__Methylomirabilota,d__Bacteria;p__Nitrospirota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__WS2,d__Bacteria;p__Dependentiae,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__WS4,d__Bacteria;p__Sumerlaeota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__RCP2-54,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__WPS-2,d__Bacteria;p__Armatimonadota,d__Bacteria;p__GAL15,d__Bacteria;p__FCPU426,d__Bacteria;p__SAR324_clade(Marine_group_B),d__Bacteria;p__Hydrogenedentes,d__Archaea;p__Thermoplasmatota,d__Archaea;p__Aenigmarchaeota,d__Archaea;__,d__Bacteria;p__Entotheonellaeota,d__Bacteria;p__NB1-j,d__Bacteria;p__Dadabacteria,d__Bacteria;p__Deinococcota,d__Bacteria;p__Deferrisomatota,d__Bacteria;p__Zixibacteria,d__Bacteria;p__Calditrichota,d__Archaea;p__Iainarchaeota,d__Bacteria;p__Nitrospinota,d__Bacteria;p__Margulisbacteria,d__Bacteria;p__Abditibacteriota,d__Bacteria;p__Fusobacteriota
AL1-P1_S27,5305,394,126,577,189,652,3546,87,2390,0,0,0,0,1131,42,0,2506,18,0,0,22,139,0,536,0,0,0,0,0,0,38,0,0,27,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL1-P2_S28,7357,154,171,436,164,514,4491,19,3827,6,0,0,0,3939,0,0,1924,27,0,0,0,11,0,283,0,24,2,0,0,0,293,0,65,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL1-P3_S29,1124,243,0,37,14,83,1058,0,639,0,0,0,0,111,0,0,784,0,0,0,0,0,0,47,0,8,0,0,0,0,30,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL1-P4_S30,7094,134,54,840,225,1144,4653,307,3122,0,0,0,0,2611,39,0,2361,0,0,0,69,44,0,659,0,16,37,0,4,5,188,8,83,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL1-P5_S31,6546,10,76,496,16,869,3310,229,3254,0,0,0,0,3278,7,0,3129,3,0,0,20,27,0,216,0,0,5,0,0,58,195,0,104,133,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
AL1-P6_S32,7171,265,113,237,11,290,2758,154,2916,0,0,0,0,3747,4,0,3752,0,0,0,6,243,0,243,0,23,0,0,0,113,331,0,100,68,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
AR1-P1_S98,10166,624,509,2283,228,2189,6599,546,7629,151,0,0,0,2325,246,0,2653,17,0,0,266,463,84,2932,0,19,191,0,19,417,27,98,33,103,0,0,22,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
AR1-P2_S99,9622,888,566,2410,195,3076,5306,654,9401,323,6,0,0,2576,610,7,2979,80,0,45,540,1091,264,1714,0,20,93,0,0,981,57,30,0,40,0,0,19,0,8,0,0,0,67,0,0,9,0,0,0,0,0,0,0
AR1-P4_S100,7169,279,366,1386,139,3263,10930,2602,7900,910,0,0,0,1695,117,0,887,0,0,0,164,737,114,690,3,12,89,0,0,91,9,0,13,45,0,0,0,0,28,0,0,128,28,0,0,0,0,0,0,0,0,0,0
AR1-P5_S101,10865,221,202,2156,319,2404,8617,955,5574,518,0,0,0,2732,18,0,2049,32,0,0,191,277,103,3260,0,14,238,0,0,33,0,221,35,91,0,0,6,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
