SampleID,d__Bacteria;p__Proteobacteria,d__Bacteria;__,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Firmicutes,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Acidobacteriota,d__Archaea;p__Crenarchaeota,d__Archaea;p__Euryarchaeota,d__Archaea;p__Halobacterota,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Zixibacteria,d__Bacteria;p__Latescibacterota,d__Bacteria;p__Spirochaetota,d__Archaea;p__Nanoarchaeota,d__Bacteria;p__Myxococcota,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Gemmatimonadota,d__Bacteria;p__Methylomirabilota,d__Bacteria;p__MBNT15,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__Nitrospirota,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Dependentiae,d__Bacteria;p__WS4,d__Bacteria;p__Sumerlaeota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__RCP2-54,d__Bacteria;p__WPS-2,d__Bacteria;p__Armatimonadota,d__Bacteria;p__GAL15,d__Bacteria;p__SAR324_clade(Marine_group_B),d__Bacteria;p__FCPU426,d__Bacteria;p__Hydrogenedentes,d__Archaea;p__Thermoplasmatota,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__Entotheonellaeota,d__Bacteria;p__NB1-j,d__Bacteria;p__Dadabacteria,d__Bacteria;p__Deinococcota,d__Bacteria;p__Deferrisomatota,d__Bacteria;p__Sva0485,d__Bacteria;p__Calditrichota,d__Bacteria;p__WS2,d__Bacteria;p__Nitrospinota,d__Bacteria;p__Synergistota,d__Bacteria;p__Abditibacteriota,d__Archaea;p__Aenigmarchaeota
AL1-P1-S1-16s_S25,5828,114,83,583,114,4785,2193,0,0,0,2519,0,0,0,0,749,7,31,455,0,2616,3,18,27,12,2,0,0,135,53,5,17,0,0,0,0,0,0,64,5,0,0,0,0,0,0,0,0,0,0
AL1-P2-S1-16s_S26,5677,17,9,537,81,4418,2590,0,0,0,2180,0,0,0,0,373,21,78,42,0,1342,0,0,91,5,0,0,0,21,161,26,59,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL1-P3-S2-16s_S27,4371,33,17,298,189,2810,2343,0,0,5,836,0,18,0,0,278,54,20,14,0,1507,0,0,476,0,35,0,0,0,114,46,59,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL1-P4-S1-16s_S28,5017,66,9,844,219,4351,1870,0,0,0,1532,0,8,0,0,418,6,49,0,0,1454,0,3,219,0,0,0,0,57,33,79,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL1-P5-S1-16s_S29,2338,28,0,59,57,981,864,0,0,0,534,0,0,0,0,109,0,0,0,0,2236,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL1-P6-S1-16s_S30,5744,0,9,483,211,3680,2203,0,0,0,1657,0,22,0,0,249,11,64,96,0,2447,0,0,68,9,0,0,0,93,95,94,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO1-P1-S1-16s_S42,4032,225,56,1730,967,8715,5155,529,0,0,874,0,70,0,0,610,33,294,51,0,1403,14,28,924,0,3,0,0,21,0,0,24,0,0,4,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0
CO1-P2-S1-16s_S43,4833,209,93,1168,1388,5933,5228,329,0,0,1381,0,105,0,0,1408,11,194,5,0,2067,0,0,2006,40,0,0,0,52,0,0,23,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
CO1-P3-S1-16s_S44,3998,128,24,940,1889,5804,5258,419,0,0,1095,0,58,0,0,1023,28,307,0,8,919,36,9,1265,15,14,0,0,0,0,0,44,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,6,0
CO1-P4-S1-16s_S45,5367,243,102,1496,529,7938,5149,452,0,0,1192,0,40,0,0,1180,15,220,16,0,1377,22,9,1831,35,2,0,0,0,16,10,8,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
CO1-P5-S1-16s_S46,3003,120,42,2024,620,8778,4289,707,0,0,813,0,16,0,0,567,0,203,0,0,493,31,0,464,5,0,0,0,9,0,13,19,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
CO1-P6-S1-16s_S47,4117,19,65,2309,605,8803,5901,259,0,0,1385,0,40,0,0,1163,20,152,22,0,893,46,0,356,37,0,0,0,481,0,0,23,0,0,0,0,11,13,27,0,0,0,0,0,0,0,0,0,2,0
IA1-P1-S1-16s_S1,6286,57,32,1517,519,7438,4542,86,0,0,1172,0,95,4,0,1232,35,190,875,0,2402,11,14,484,10,0,0,0,29,9,0,111,0,0,0,0,0,8,115,48,0,0,0,0,0,0,0,0,0,0
IA1-P2-S1-16s_S2,6750,230,50,1181,724,7867,4261,101,0,0,1740,0,72,0,0,636,16,192,501,0,4412,5,0,583,14,0,0,14,76,0,8,47,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
IA1-P3-S1-16s_S3,7476,46,45,1799,1252,8393,4717,0,0,0,1585,0,112,0,0,1240,33,85,700,31,4380,0,5,387,65,0,0,28,175,7,9,39,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0
IA1-P4-S1-16s_S4,5472,220,31,982,711,7128,4246,82,0,0,1849,0,132,0,0,746,67,178,648,15,4177,3,0,536,70,0,0,0,76,30,0,93,7,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0
IA1-P5-S1-16s_S5,5511,406,33,856,515,7103,5689,86,0,0,1373,0,309,0,0,844,19,147,728,0,4069,27,0,453,0,9,0,0,118,0,0,28,0,0,0,0,0,0,154,39,0,0,0,0,0,0,0,0,0,0
IA1-P6-S1-16s_S6,5828,261,17,953,826,7319,5304,111,0,0,1086,0,205,0,0,884,39,190,574,0,4232,0,14,1074,15,0,0,0,53,0,0,38,0,6,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0
IL1-P1-S1-16s_S78,4051,60,9,1678,1691,2930,4319,7,0,12,1135,0,10,0,0,670,12,35,226,0,1870,98,0,101,190,2,0,0,264,0,13,133,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
IL1-P2-S1-16s_S79,4752,166,85,1081,528,3808,4196,15,0,0,750,0,79,0,0,480,64,96,78,0,1972,67,15,310,10,0,0,12,434,33,0,83,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
IL1-P3-S1-16s_S80,7991,390,49,2221,674,7260,5603,17,0,0,1440,0,64,0,0,909,87,58,120,0,2088,7,0,734,167,0,0,8,82,65,0,140,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
IL1-P4-S1-16s_S81,6990,471,97,2096,1296,6539,5498,0,0,0,1451,0,103,0,0,920,113,104,124,0,2303,91,0,557,34,0,0,0,350,74,24,89,0,0,0,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0
IL1-P5-S1-16s_S82,8581,186,229,1490,547,7416,5185,24,0,0,939,0,114,0,0,808,104,205,95,0,980,0,64,835,16,26,0,0,179,9,9,73,0,0,0,0,0,30,0,0,0,0,0,0,0,8,0,0,0,0
IL1-P6-S1-16s_S83,6057,327,71,1281,342,5267,4398,0,0,0,922,0,30,0,0,681,8,111,173,0,1156,0,29,414,2,18,0,0,259,0,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
IN1-P1-S1-16s_S19,5953,264,88,2400,678,3645,7318,73,0,6,2419,0,138,0,9,1879,67,481,732,162,1172,222,96,927,45,125,0,0,356,61,0,73,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,6
IN1-P2-S1-16s_S20,6534,281,62,1785,529,5524,5687,0,0,0,2063,0,62,8,0,1381,52,143,200,17,1462,8,14,922,11,6,0,0,183,0,17,0,0,12,40,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
IN1-P3-S1-16s_S21,5510,313,78,1673,1783,4670,6173,0,0,0,2384,0,445,0,0,1140,54,352,479,0,1772,43,0,1188,10,0,0,2,205,0,8,17,0,31,13,0,0,53,0,10,0,0,0,0,0,0,0,0,0,0
