SubjectID1,SubjectID2,Group1,Group2,Distance,Group3,PR_Difference,PR_ABS
AL1-P1-S1-16s_S25,CO1-P1-S1-16s_S42,AL1,CO1,0.954533333,AL1CO1,9.98,9.98
AL1-P1-S1-16s_S25,CO1-P2-S1-16s_S43,AL1,CO1,0.987133333,AL1CO1,9.98,9.98
AL1-P1-S1-16s_S25,CO1-P3-S1-16s_S44,AL1,CO1,0.995266667,AL1CO1,9.98,9.98
AL1-P1-S1-16s_S25,CO1-P4-S1-16s_S45,AL1,CO1,0.967133333,AL1CO1,9.98,9.98
AL1-P1-S1-16s_S25,CO1-P5-S1-16s_S46,AL1,CO1,0.9828,AL1CO1,9.98,9.98
AL1-P1-S1-16s_S25,CO1-P6-S1-16s_S47,AL1,CO1,0.9858,AL1CO1,9.98,9.98
AL1-P1-S1-16s_S25,IA1-P1-S1-16s_S1,AL1,IA1,0.9162,AL1IA1,3.9,3.9
AL1-P1-S1-16s_S25,IA1-P2-S1-16s_S2,AL1,IA1,0.904733333,AL1IA1,3.9,3.9
AL1-P1-S1-16s_S25,IA1-P3-S1-16s_S3,AL1,IA1,0.907666667,AL1IA1,3.9,3.9
AL1-P1-S1-16s_S25,IA1-P4-S1-16s_S4,AL1,IA1,0.899733333,AL1IA1,3.9,3.9
AL1-P1-S1-16s_S25,IA1-P5-S1-16s_S5,AL1,IA1,0.908866667,AL1IA1,3.9,3.9
AL1-P1-S1-16s_S25,IA1-P6-S1-16s_S6,AL1,IA1,0.924733333,AL1IA1,3.9,3.9
AL1-P1-S1-16s_S25,IL1-P1-S1-16s_S78,AL1,IL1,0.947133333,AL1IL1,3.1,3.1
AL1-P1-S1-16s_S25,IL1-P2-S1-16s_S79,AL1,IL1,0.9292,AL1IL1,3.1,3.1
AL1-P1-S1-16s_S25,IL1-P3-S1-16s_S80,AL1,IL1,0.940333333,AL1IL1,3.1,3.1
AL1-P1-S1-16s_S25,IL1-P4-S1-16s_S81,AL1,IL1,0.924133333,AL1IL1,3.1,3.1
AL1-P1-S1-16s_S25,IL1-P5-S1-16s_S82,AL1,IL1,0.955533333,AL1IL1,3.1,3.1
AL1-P1-S1-16s_S25,IL1-P6-S1-16s_S83,AL1,IL1,0.924266667,AL1IL1,3.1,3.1
AL1-P1-S1-16s_S25,IN1-P1-S1-16s_S19,AL1,IN1,0.9668,AL1IN1,5,5
AL1-P1-S1-16s_S25,IN1-P2-S1-16s_S20,AL1,IN1,0.910533333,AL1IN1,5,5
AL1-P1-S1-16s_S25,IN1-P3-S1-16s_S21,AL1,IN1,0.942533333,AL1IN1,5,5
AL1-P1-S1-16s_S25,IN1-P4-S1-16s_S22,AL1,IN1,0.913933333,AL1IN1,5,5
AL1-P1-S1-16s_S25,IN1-P5-S1-16s_S23,AL1,IN1,0.921,AL1IN1,5,5
AL1-P1-S1-16s_S25,IN1-P6-S1-16s_S24,AL1,IN1,0.924666667,AL1IN1,5,5
AL1-P1-S1-16s_S25,KS1-P1-S1-16s_S109,AL1,KS1,0.9116,AL1KS1,3.7,3.7
AL1-P1-S1-16s_S25,KS1-P4-S1-16s_S112,AL1,KS1,0.9082,AL1KS1,3.7,3.7
AL1-P1-S1-16s_S25,KS1-P5-S1-16s_S113,AL1,KS1,0.9098,AL1KS1,3.7,3.7
AL1-P1-S1-16s_S25,KS1-P6-S1-16s_S114,AL1,KS1,0.916466667,AL1KS1,3.7,3.7
AL1-P1-S1-16s_S25,KS2-P2-S1-16s_S128,AL1,KS2,0.9772,AL1KS2,7.29,7.29
AL1-P1-S1-16s_S25,KS2-P3-S1-16s_S129,AL1,KS2,0.986533333,AL1KS2,7.29,7.29
AL1-P1-S1-16s_S25,KS2-P4-S1-16s_S130,AL1,KS2,0.978933333,AL1KS2,7.29,7.29
AL1-P1-S1-16s_S25,KS2-P5-S1-16s_S131,AL1,KS2,0.986,AL1KS2,7.29,7.29
AL1-P1-S1-16s_S25,LA1-P1-S1-16s_S54,AL1,LA1,0.946733333,AL1LA1,-0.2,0.2
AL1-P1-S1-16s_S25,LA1-P2-S1-16s_S55,AL1,LA1,0.934333333,AL1LA1,-0.2,0.2
AL1-P1-S1-16s_S25,LA1-P3-S1-16s_S56,AL1,LA1,0.956933333,AL1LA1,-0.2,0.2
AL1-P1-S1-16s_S25,LA1-P5-S2-16s_S58,AL1,LA1,0.954133333,AL1LA1,-0.2,0.2
AL1-P1-S1-16s_S25,MI1-P1-S1-16s_S7,AL1,MI1,0.959,AL1MI1,5.4,5.4
AL1-P1-S1-16s_S25,MI1-P2-S1-16s_S8,AL1,MI1,0.9676,AL1MI1,5.4,5.4
AL1-P1-S1-16s_S25,MI1-P3-S1-16s_S9,AL1,MI1,0.9376,AL1MI1,5.4,5.4
AL1-P1-S1-16s_S25,MI1-P4-S1-16s_S10,AL1,MI1,0.9726,AL1MI1,5.4,5.4
AL1-P1-S1-16s_S25,MI1-P5-S2-16s_S11,AL1,MI1,0.953,AL1MI1,5.4,5.4
AL1-P1-S1-16s_S25,MI1-P6-S2-16s_S12,AL1,MI1,0.973466667,AL1MI1,5.4,5.4
AL1-P1-S1-16s_S25,MN1-P1-S1-16s_S151,AL1,MN1,0.977,AL1MN1,6.79,6.79
AL1-P1-S1-16s_S25,MN1-P2-S1-16s_S152,AL1,MN1,0.981866667,AL1MN1,6.79,6.79
AL1-P1-S1-16s_S25,MN1-P3-S1-16s_S153,AL1,MN1,0.9712,AL1MN1,6.79,6.79
AL1-P1-S1-16s_S25,MN1-P4-S1-16s_S154,AL1,MN1,0.9832,AL1MN1,6.79,6.79
AL1-P1-S1-16s_S25,MN1-P5-S1-16s_S155,AL1,MN1,0.969066667,AL1MN1,6.79,6.79
AL1-P1-S1-16s_S25,MN1-P6-S1-16s_S156,AL1,MN1,0.972733333,AL1MN1,6.79,6.79
AL1-P1-S1-16s_S25,MO1-P1-S1-16s_S90,AL1,MO1,0.9332,AL1MO1,3.7,3.7
AL1-P1-S1-16s_S25,MO1-P2-S1-16s_S91,AL1,MO1,0.937733333,AL1MO1,3.7,3.7
AL1-P1-S1-16s_S25,MO1-P3-S1-16s_S93,AL1,MO1,0.945066667,AL1MO1,3.7,3.7
AL1-P1-S1-16s_S25,MO1-P4-S1-16s_S94,AL1,MO1,0.945666667,AL1MO1,3.7,3.7
AL1-P1-S1-16s_S25,MO1-P5-S1-16s_S95,AL1,MO1,0.9184,AL1MO1,3.7,3.7
AL1-P1-S1-16s_S25,MO1-P6-S1-16s_S96,AL1,MO1,0.915666667,AL1MO1,3.7,3.7
AL1-P1-S1-16s_S25,MS1-P4-S1-16s_S33,AL1,MS1,0.9384,AL1MS1,-0.8,0.8
AL1-P1-S1-16s_S25,MS1-P5-S1-16s_S34,AL1,MS1,0.949866667,AL1MS1,-0.8,0.8
AL1-P1-S1-16s_S25,MS1-P6-S1-16s_S35,AL1,MS1,0.939333333,AL1MS1,-0.8,0.8
AL1-P1-S1-16s_S25,MT1-P1-S1-16s_S139,AL1,MT1,0.986066667,AL1MT1,9.42,9.42
AL1-P1-S1-16s_S25,MT1-P2-S1-16s_S140,AL1,MT1,0.953333333,AL1MT1,9.42,9.42
AL1-P1-S1-16s_S25,MT1-P3-S1-16s_S141,AL1,MT1,0.9792,AL1MT1,9.42,9.42
AL1-P1-S1-16s_S25,MT1-P4-S1-16s_S142,AL1,MT1,0.960866667,AL1MT1,9.42,9.42
AL1-P1-S1-16s_S25,MT1-P5-S1-16s_S143,AL1,MT1,0.978,AL1MT1,9.42,9.42
AL1-P1-S1-16s_S25,MT1-P6-S1-16s_S144,AL1,MT1,0.9724,AL1MT1,9.42,9.42
AL1-P1-S1-16s_S25,NC1-P1-S1-16s_S66,AL1,NC1,0.9342,AL1NC1,3.2,3.2
AL1-P1-S1-16s_S25,NC1-P2-S1-16s_S67,AL1,NC1,0.9274,AL1NC1,3.2,3.2
AL1-P1-S1-16s_S25,NC1-P3-S1-16s_S68,AL1,NC1,0.933533333,AL1NC1,3.2,3.2
AL1-P1-S1-16s_S25,NC1-P4-S1-16s_S69,AL1,NC1,0.929,AL1NC1,3.2,3.2
AL1-P1-S1-16s_S25,NC1-P5-S1-16s_S70,AL1,NC1,0.929533333,AL1NC1,3.2,3.2
AL1-P1-S1-16s_S25,NC1-P6-S1-16s_S71,AL1,NC1,0.932133333,AL1NC1,3.2,3.2
AL1-P1-S1-16s_S25,ND1-P1-S1-16s_S145,AL1,ND1,0.981066667,AL1ND1,7.77,7.77
AL1-P1-S1-16s_S25,ND1-P2-S1-16s_S146,AL1,ND1,0.981866667,AL1ND1,7.77,7.77
AL1-P1-S1-16s_S25,ND1-P3-S1-16s_S147,AL1,ND1,0.987,AL1ND1,7.77,7.77
AL1-P1-S1-16s_S25,ND1-P4-S1-16s_S148,AL1,ND1,0.984666667,AL1ND1,7.77,7.77
AL1-P1-S1-16s_S25,ND1-P5-S1-16s_S149,AL1,ND1,0.980133333,AL1ND1,7.77,7.77
AL1-P1-S1-16s_S25,ND1-P6-S1-16s_S150,AL1,ND1,0.9924,AL1ND1,7.77,7.77
AL1-P1-S1-16s_S25,NE1-P1-S1-16s_S115,AL1,NE1,0.910066667,AL1NE1,5,5
AL1-P1-S1-16s_S25,NE1-P2-S1-16s_S116,AL1,NE1,0.913866667,AL1NE1,5,5
AL1-P1-S1-16s_S25,NE1-P3-S1-16s_S117,AL1,NE1,0.911866667,AL1NE1,5,5
AL1-P1-S1-16s_S25,NE1-P4-S1-16s_S118,AL1,NE1,0.921666667,AL1NE1,5,5
AL1-P1-S1-16s_S25,NE1-P5-S1-16s_S119,AL1,NE1,0.923733333,AL1NE1,5,5
AL1-P1-S1-16s_S25,NE1-P6-S1-16s_S120,AL1,NE1,0.942533333,AL1NE1,5,5
AL1-P1-S1-16s_S25,NE2-P1-S1-16s_S133,AL1,NE2,0.986866667,AL1NE2,6.78,6.78
AL1-P1-S1-16s_S25,NE2-P2-S1-16s_S134,AL1,NE2,0.9934,AL1NE2,6.78,6.78
AL1-P1-S1-16s_S25,NE2-P3-S1-16s_S135,AL1,NE2,0.985933333,AL1NE2,6.78,6.78
AL1-P1-S1-16s_S25,NE2-P4-S1-16s_S136,AL1,NE2,0.9828,AL1NE2,6.78,6.78
AL1-P1-S1-16s_S25,NE2-P5-S1-16s_S137,AL1,NE2,0.988333333,AL1NE2,6.78,6.78
AL1-P1-S1-16s_S25,NE2-P6-S1-16s_S138,AL1,NE2,0.983266667,AL1NE2,6.78,6.78
AL1-P1-S1-16s_S25,NM1-P1-S1-16s_S36,AL1,NM1,0.990333333,AL1NM1,9.8,9.8
AL1-P1-S1-16s_S25,NM1-P2-S1-16s_S37,AL1,NM1,0.970066667,AL1NM1,9.8,9.8
AL1-P1-S1-16s_S25,NM1-P3-S1-16s_S38,AL1,NM1,0.983533333,AL1NM1,9.8,9.8
AL1-P1-S1-16s_S25,NM1-P4-S1-16s_S39,AL1,NM1,0.983933333,AL1NM1,9.8,9.8
AL1-P1-S1-16s_S25,NM1-P5-S1-16s_S40,AL1,NM1,0.974066667,AL1NM1,9.8,9.8
AL1-P1-S1-16s_S25,NM1-P6-S1-16s_S41,AL1,NM1,0.989266667,AL1NM1,9.8,9.8
AL1-P1-S1-16s_S25,OK1-P1-S2-16s_S48,AL1,OK1,0.991666667,AL1OK1,6.5,6.5
AL1-P1-S1-16s_S25,OK1-P2-S2-16s_S49,AL1,OK1,0.997066667,AL1OK1,6.5,6.5
AL1-P1-S1-16s_S25,OK1-P3-S1-16s_S50,AL1,OK1,0.985466667,AL1OK1,6.5,6.5
AL1-P1-S1-16s_S25,OK1-P4-S1-16s_S51,AL1,OK1,0.992866667,AL1OK1,6.5,6.5
AL1-P1-S1-16s_S25,OK1-P5-S1-16s_S52,AL1,OK1,0.9784,AL1OK1,6.5,6.5
AL1-P1-S1-16s_S25,OK1-P6-S1-16s_S53,AL1,OK1,0.986333333,AL1OK1,6.5,6.5
AL1-P1-S1-16s_S25,SC1-P1-S1-16s_S97,AL1,SC1,0.959866667,AL1SC1,2.4,2.4
AL1-P1-S1-16s_S25,SC1-P2-S1-16s_S98,AL1,SC1,0.964133333,AL1SC1,2.4,2.4
AL1-P1-S1-16s_S25,SC1-P3-S1-16s_S99,AL1,SC1,0.965133333,AL1SC1,2.4,2.4
AL1-P1-S1-16s_S25,SC1-P4-S1-16s_S100,AL1,SC1,0.943266667,AL1SC1,2.4,2.4
AL1-P1-S1-16s_S25,SC1-P5-S1-16s_S101,AL1,SC1,0.9462,AL1SC1,2.4,2.4
AL1-P1-S1-16s_S25,SC1-P6-S1-16s_S102,AL1,SC1,0.951133333,AL1SC1,2.4,2.4
AL1-P1-S1-16s_S25,SD1-P1-S1-16s_S121,AL1,SD1,0.975866667,AL1SD1,9.42,9.42
AL1-P1-S1-16s_S25,SD1-P2-S1-16s_S122,AL1,SD1,0.975066667,AL1SD1,9.42,9.42
AL1-P1-S1-16s_S25,SD1-P5-S1-16s_S125,AL1,SD1,0.9676,AL1SD1,9.42,9.42
AL1-P1-S1-16s_S25,TX1-P5-S1-16s_S64,AL1,TX1,0.946,AL1TX1,1.5,1.5
AL1-P1-S1-16s_S25,TX1-P6-S1-16s_S65,AL1,TX1,0.951133333,AL1TX1,1.5,1.5
AL1-P1-S1-16s_S25,TX2-P1-S1-16s_S72,AL1,TX2,0.904933333,AL1TX2,-0.7,0.7
AL1-P1-S1-16s_S25,TX2-P2-S1-16s_S73,AL1,TX2,0.899133333,AL1TX2,-0.7,0.7
AL1-P1-S1-16s_S25,TX2-P3-S1-16s_S74,AL1,TX2,0.925466667,AL1TX2,-0.7,0.7
AL1-P1-S1-16s_S25,TX2-P4-S1-16s_S75,AL1,TX2,0.930866667,AL1TX2,-0.7,0.7
AL1-P1-S1-16s_S25,TX2-P5-S1-16s_S76,AL1,TX2,0.897533333,AL1TX2,-0.7,0.7
AL1-P1-S1-16s_S25,TX2-P6-S2-16s_S77,AL1,TX2,0.917666667,AL1TX2,-0.7,0.7
AL1-P1-S1-16s_S25,TX3-P1-S1-16s_S84,AL1,TX3,0.962333333,AL1TX3,4,4
AL1-P1-S1-16s_S25,TX3-P2-S1-16s_S85,AL1,TX3,0.966466667,AL1TX3,4,4
AL1-P1-S1-16s_S25,TX3-P3-S1-16s_S86,AL1,TX3,0.969533333,AL1TX3,4,4
AL1-P1-S1-16s_S25,TX3-P4-S1-16s_S87,AL1,TX3,0.965933333,AL1TX3,4,4
AL1-P1-S1-16s_S25,TX3-P5-S1-16s_S88,AL1,TX3,0.967066667,AL1TX3,4,4
AL1-P1-S1-16s_S25,TX3-P6-S1-16s_S89,AL1,TX3,0.9662,AL1TX3,4,4
AL1-P1-S1-16s_S25,WI1-P1-S1-16s_S13,AL1,WI1,0.933266667,AL1WI1,4.8,4.8
AL1-P1-S1-16s_S25,WI1-P2-S1-16s_S14,AL1,WI1,0.944666667,AL1WI1,4.8,4.8
AL1-P1-S1-16s_S25,WI1-P3-S1-16s_S15,AL1,WI1,0.9178,AL1WI1,4.8,4.8
AL1-P1-S1-16s_S25,WI1-P4-S2-16s_S16,AL1,WI1,0.891066667,AL1WI1,4.8,4.8
AL1-P1-S1-16s_S25,WI1-P5-S1-16s_S17,AL1,WI1,0.907,AL1WI1,4.8,4.8
AL1-P1-S1-16s_S25,WI1-P6-S1-16s_S18,AL1,WI1,0.903333333,AL1WI1,4.8,4.8
AL1-P2-S1-16s_S26,AL1-P1-S1-16s_S25,AL1,AL1,0.886533333,AL1AL1,0,0
AL1-P2-S1-16s_S26,CO1-P1-S1-16s_S42,AL1,CO1,0.981066667,AL1CO1,9.98,9.98
AL1-P2-S1-16s_S26,CO1-P2-S1-16s_S43,AL1,CO1,0.988,AL1CO1,9.98,9.98
AL1-P2-S1-16s_S26,CO1-P3-S1-16s_S44,AL1,CO1,0.988733333,AL1CO1,9.98,9.98
